date,home,away,home_score,away_score
18.09. 18:30,Spain,France,88,76
18.09. 15:15,Germany,Poland,82,69
16.09. 18:30,Germany,Spain,91,96
16.09. 15:15,Poland,France,54,95
14.09. 18:30,Slovenia,Poland,87,90
14.09. 15:15AOT,France,Italy,93,85
13.09. 18:30,Germany,Greece,107,96
13.09. 15:15,Spain,Finland,100,90
11.09. 18:45,Greece,Czech Republic,94,88
11.09. 16:00,Serbia,Italy,86,94
11.09. 12:45,Finland,Croatia,94,86
11.09. 10:00,Ukraine,Poland,86,94
10.09. 18:45AOT,Spain,Lithuania,102,94
10.09. 16:00,Germany,Montenegro,85,79
10.09. 12:45,Slovenia,Belgium,88,72
10.09. 10:00AOT,Turkey,France,86,87
08.09. 19:00,Great Britain,Italy,56,90
08.09. 19:00,Serbia,Poland,96,69
08.09. 15:30,Czech Republic,Israel,88,77
08.09. 15:00,Estonia,Greece,69,90
08.09. 12:15,Croatia,Ukraine,90,85
08.09. 12:00,Finland,Netherlands,88,67
07.09. 18:30,Hungary,Germany,71,106
07.09. 17:00,Georgia,Montenegro,73,81
07.09. 15:15,France,Slovenia,82,88
07.09. 14:15,Bulgaria,Belgium,80,89
07.09. 12:30,Lithuania,Bosnia & Herzegovina,87,70
07.09. 11:30,Turkey,Spain,69,72
06.09. 19:00,Israel,Serbia,78,89
06.09. 19:00,Italy,Croatia,81,76
06.09. 18:30,Germany,Slovenia,80,88
06.09. 17:00,Georgia,Bulgaria,80,92
06.09. 15:30,Finland,Czech Republic,98,88
06.09. 15:15,Hungary,Lithuania,64,87
06.09. 15:00,Greece,Ukraine,99,79
06.09. 14:15,Montenegro,Spain,65,82
06.09. 12:30,Bosnia & Herzegovina,France,68,81
06.09. 12:15,Estonia,Great Britain,94,62
06.09. 12:00,Netherlands,Poland,69,75
06.09. 11:30,Belgium,Turkey,63,78
05.09. 19:00,Serbia,Finland,100,70
05.09. 19:00,Ukraine,Italy,84,73
05.09. 15:30,Czech Republic,Netherlands,88,80
05.09. 15:00,Great Britain,Greece,77,93
05.09. 12:15,Croatia,Estonia,73,70
05.09. 12:00,Poland,Israel,85,76
04.09. 18:30,France,Hungary,78,74
04.09. 17:00AOT,Turkey,Georgia,83,88
04.09. 15:45,Slovenia,Bosnia & Herzegovina,93,97
04.09. 14:15,Spain,Belgium,73,83
04.09. 12:30AOT,Lithuania,Germany,107,109
04.09. 11:30,Bulgaria,Montenegro,81,91
03.09. 19:00,Greece,Italy,85,81
03.09. 19:00,Netherlands,Israel,67,74
03.09. 18:30,Hungary,Slovenia,88,103
03.09. 17:00,Georgia,Spain,64,90
03.09. 15:45,Lithuania,France,73,77
03.09. 15:30,Czech Republic,Serbia,68,81
03.09. 15:00,Estonia,Ukraine,73,74
03.09. 14:15,Bulgaria,Turkey,87,101
03.09. 12:30,Germany,Bosnia & Herzegovina,92,82
03.09. 12:15,Great Britain,Croatia,65,86
03.09. 12:00,Finland,Poland,89,59
03.09. 11:30,Montenegro,Belgium,76,70
02.09. 19:00,Italy,Estonia,83,62
02.09. 19:00,Serbia,Netherlands,100,76
02.09. 15:30,Poland,Czech Republic,99,84
02.09. 15:00,Croatia,Greece,85,89
02.09. 12:15,Ukraine,Great Britain,90,61
02.09. 12:00AOT,Israel,Finland,89,87
01.09. 18:30,France,Germany,63,76
01.09. 17:00AOT,Belgium,Georgia,79,76
01.09. 15:15,Slovenia,Lithuania,92,85
01.09. 14:15,Turkey,Montenegro,72,68
01.09. 12:30,Bosnia & Herzegovina,Hungary,95,85
01.09. 11:30,Spain,Bulgaria,114,87
22.02. 19:00,Montenegro,Germany,82,75
22.02. 17:30,Denmark,Lithuania,76,77
22.02. 17:30AOT,Latvia,Greece,94,97
22.02. 17:00,Hungary,Ukraine,63,97
22.02. 17:00,Turkey,Croatia,84,78
22.02. 16:00,France,Great Britain,73,94
22.02. 14:30,Belgium,Czech Republic,86,91
22.02. 14:30,Bulgaria,Bosnia & Herzegovina,61,80
22.02. 14:00,Estonia,North Macedonia,84,86
22.02. 14:00,Sweden,Netherlands,74,59
