season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,1,2016-08-31,Iceland,Switzerland,88,72,1,1,7,7,1,1,1,34,70
2017,1,2016-08-31,Montenegro,Slovakia,97,65,2,1,7,7,1,1,1,49,64
2017,1,2016-08-31,Netherlands,Austria,72,75,3,1,7,7,1,1,1,50,4
2017,1,2016-08-31,Poland,Portugal,83,57,4,1,7,7,1,1,1,56,57
2017,1,2016-08-31,Germany,Denmark,101,74,5,1,7,7,1,1,1,29,22
2017,1,2016-08-31,Belgium,Cyprus,65,46,6,1,7,7,1,1,1,7,19
2017,1,2016-08-31,Hungary,Great Britain,96,77,7,1,7,7,1,1,1,33,30
2017,1,2016-08-31,Ukraine,Bulgaria,79,69,8,1,7,7,1,1,1,76,10
2017,1,2016-08-31,Russia,Bosnia & Herzegovina,83,54,9,1,7,7,1,1,1,60,8
2017,1,2016-09-03,Austria,Germany,59,61,10,1,3,3,2,2,0,4,29
2017,1,2016-09-03,Bosnia & Herzegovina,Sweden,74,71,11,1,3,7,2,1,0,8,69
2017,1,2016-09-03,Great Britain,North Macedonia,96,79,12,1,3,7,2,1,0,30,53
2017,1,2016-09-03,Portugal,Estonia,68,76,13,1,3,7,2,1,0,57,25
2017,1,2016-09-03,Denmark,Netherlands,72,90,14,1,3,3,2,2,0,22,50
2017,1,2016-09-03,Slovakia,Georgia,63,94,15,1,3,7,2,1,0,64,28
2017,1,2016-09-03,Switzerland,Belgium,72,87,16,1,3,3,2,2,0,70,7
2017,1,2016-09-03,Bulgaria,Slovenia,78,83,17,1,3,7,2,1,0,10,65
2017,1,2016-09-03,Cyprus,Iceland,64,75,18,1,3,3,2,2,0,19,34
2017,1,2016-09-07,North Macedonia,Hungary,66,76,19,1,4,7,2,2,0,53,33
2017,1,2016-09-07,Belgium,Iceland,80,65,20,1,4,4,3,3,0,7,34
2017,1,2016-09-07,Poland,Estonia,78,64,21,1,7,4,2,2,0,56,25
2017,1,2016-09-07,Slovenia,Ukraine,84,77,22,1,4,7,2,2,0,65,76
2017,1,2016-09-07,Sweden,Russia,73,85,23,1,4,7,2,2,0,69,60
2017,1,2016-09-07,Germany,Netherlands,71,75,24,1,4,4,3,3,0,29,50
2017,1,2016-09-07,Switzerland,Cyprus,76,80,25,1,4,4,3,3,0,70,19
2017,1,2016-09-07,Austria,Denmark,86,66,26,1,4,4,3,3,0,4,22
2017,1,2016-09-07,Georgia,Montenegro,74,76,27,1,4,7,2,2,0,28,49
2017,1,2016-09-10,Austria,Netherlands,61,75,28,1,3,3,4,4,0,4,50
2017,1,2016-09-10,Bosnia & Herzegovina,Russia,67,78,29,1,7,3,3,3,0,8,60
2017,1,2016-09-10,Great Britain,Hungary,80,88,30,1,7,3,3,3,0,30,33
2017,1,2016-09-10,Portugal,Poland,74,81,31,1,7,3,3,3,0,57,56
2017,1,2016-09-10,Denmark,Germany,106,102,32,1,3,3,4,4,0,22,29
2017,1,2016-09-10,Slovakia,Montenegro,62,99,33,1,7,3,3,3,0,64,49
2017,1,2016-09-10,Switzerland,Iceland,83,80,34,1,3,3,4,4,0,70,34
2017,1,2016-09-10,Bulgaria,Ukraine,67,72,35,1,7,3,3,3,0,10,76
2017,1,2016-09-10,Cyprus,Belgium,55,72,36,1,3,3,4,4,0,19,7
2017,1,2016-09-14,Iceland,Cyprus,84,62,37,1,4,4,5,5,0,34,19
2017,1,2016-09-14,Belgium,Switzerland,87,49,38,1,4,4,5,5,0,7,70
2017,1,2016-09-14,Netherlands,Denmark,98,88,39,1,4,4,5,5,0,50,22
2017,1,2016-09-14,Slovenia,Bulgaria,85,63,40,1,7,4,3,4,0,65,10
2017,1,2016-09-14,Sweden,Bosnia & Herzegovina,76,78,41,1,7,4,3,4,0,69,8
2017,1,2016-09-14,Germany,Austria,78,58,42,1,4,4,5,5,0,29,4
2017,1,2016-09-14,North Macedonia,Great Britain,62,89,43,1,7,4,3,4,0,53,30
2017,1,2016-09-14,Estonia,Portugal,82,63,44,1,7,4,3,4,0,25,57
2017,1,2016-09-14,Georgia,Slovakia,96,68,45,1,7,4,3,4,0,28,64
2017,1,2016-09-17,Montenegro,Georgia,84,90,46,1,7,3,4,4,0,49,28
2017,1,2016-09-17,Denmark,Austria,86,72,47,1,3,3,6,6,0,22,4
2017,1,2016-09-17,Estonia,Poland,63,94,48,1,3,7,4,4,0,25,56
2017,1,2016-09-17,Netherlands,Germany,51,82,49,1,3,3,6,6,0,50,29
2017,1,2016-09-17,Iceland,Belgium,74,68,50,1,3,3,6,6,0,34,7
2017,1,2016-09-17,Hungary,North Macedonia,63,61,51,1,7,3,4,4,0,33,53
2017,1,2016-09-17,Cyprus,Switzerland,92,78,52,1,3,3,6,6,0,19,70
2017,1,2016-09-17,Ukraine,Slovenia,69,80,53,1,7,3,4,4,0,76,65
2017,1,2016-09-17,Russia,Sweden,63,59,54,1,7,3,4,4,0,60,69
2017,2,2017-06-13,China,Iran,60,63,55,1,7,7,1,1,1,16,37
2017,2,2017-06-16,China,Iran,72,67,56,1,3,3,2,2,0,16,37
2017,2,2017-06-18,China,Iran,65,55,57,1,2,2,3,3,0,16,37
2017,2,2017-07-12,Bulgaria,Austria,80,66,58,1,100,100,5,7,0,10,4
2017,2,2017-07-14,Portugal,Estonia,60,74,59,1,100,100,5,5,0,57,25
2017,2,2017-07-20,North Macedonia,Portugal,52,47,60,1,100,6,5,6,0,53,57
2017,2,2017-07-20,Bosnia & Herzegovina,Netherlands,102,96,61,1,100,100,5,7,0,8,50
2017,2,2017-07-21,North Macedonia,Netherlands,78,72,62,1,1,1,6,8,0,53,50
2017,2,2017-07-21,Bosnia & Herzegovina,Portugal,63,58,63,1,1,1,6,7,0,8,57
2017,2,2017-07-22,Spain,Israel,90,70,64,1,7,7,1,1,1,68,39
2017,2,2017-07-22,Netherlands,Portugal,66,46,65,1,1,1,9,8,0,50,57
2017,2,2017-07-22,Austria,Bulgaria,91,84,66,1,10,10,8,6,0,4,10
2017,2,2017-07-22,North Macedonia,Bosnia & Herzegovina,71,67,67,1,1,1,7,7,0,53,8
2017,2,2017-07-23,Spain,Israel,76,56,68,1,1,1,2,2,0,68,39
2017,2,2017-07-24,Estonia,Sweden,77,72,69,1,10,100,6,5,0,25,69
2017,2,2017-07-26,Portugal,Tunisia,70,62,70,1,4,7,9,1,0,57,72
2017,2,2017-07-26,Hungary,Slovakia,76,47,71,1,100,100,5,5,0,33,64
2017,2,2017-07-26,Sweden,Estonia,82,77,72,1,2,2,6,7,0,69,25
2017,2,2017-07-27,Iceland,Belgium,83,76,73,1,100,100,7,7,0,34,7
2017,2,2017-07-27,Portugal,Tunisia,59,68,74,1,1,1,10,2,0,57,72
2017,2,2017-07-27,Hungary,Slovakia,72,51,75,1,1,1,6,6,0,33,64
2017,2,2017-07-28,Poland,Czech Republic,101,68,76,1,100,7,5,1,0,56,20
2017,2,2017-07-28,Bulgaria,North Macedonia,96,74,77,1,6,6,7,8,0,10,53
2017,2,2017-07-29,Finland,Latvia,81,85,78,1,7,7,1,1,1,26,45
2017,2,2017-07-29,Iceland,Belgium,85,70,79,1,2,2,8,8,0,34,7
2017,2,2017-07-29,Ukraine,Netherlands,65,70,80,1,100,7,5,10,0,76,50
2017,2,2017-07-29,Austria,Georgia,87,77,81,1,7,100,9,5,0,4,28
2017,2,2017-07-29,Poland,Czech Republic,85,72,82,1,1,1,6,2,0,56,20
2017,2,2017-07-29,Japan,Uruguay,69,79,83,1,7,7,1,1,1,42,77
2017,2,2017-07-30,Italy,Netherlands,66,57,84,1,7,1,1,11,1,40,50
2017,2,2017-07-30,Japan,Uruguay,72,57,85,1,1,1,2,2,0,42,77
2017,2,2017-07-31,Angola,New Zealand,64,72,86,1,7,7,1,1,1,1,51
2019,3,2017-08-02,Portugal,Bulgaria,71,82,87,1,6,5,11,8,1,57,10
2019,3,2017-08-02,Sweden,Bosnia & Herzegovina,81,73,88,1,7,11,7,8,1,69,8
2017,2,2017-08-04,Slovenia,Hungary,84,64,89,1,100,8,5,7,0,65,33
2017,2,2017-08-04,Lithuania,Poland,59,58,90,1,7,6,1,7,1,47,56
2017,2,2017-08-04,Russia,Finland,91,75,91,1,100,6,5,2,0,60,26
2017,2,2017-08-04,Georgia,Latvia,73,69,92,1,6,6,6,2,0,28,45
2017,2,2017-08-05,France,Tunisia,67,53,93,1,7,9,1,3,1,27,72
2017,2,2017-08-05,Lithuania,Georgia,70,81,94,1,1,1,2,7,0,47,28
2017,2,2017-08-05,Finland,Israel,92,97,95,1,1,13,3,3,0,26,39
2017,2,2017-08-05,Hungary,Czech Republic,51,85,96,1,1,7,8,3,0,33,20
2017,2,2017-08-05,Germany,Belgium,69,71,97,1,100,7,7,9,0,29,7
2017,2,2017-08-05,Latvia,Poland,76,80,98,1,1,1,3,8,0,45,56
2019,3,2017-08-05,North Macedonia,Estonia,76,80,99,1,8,10,9,8,1,53,25
2019,3,2017-08-05,Bosnia & Herzegovina,Slovakia,84,71,100,1,3,9,9,7,0,8,64
2019,3,2017-08-05,Austria,Netherlands,72,79,101,1,7,6,10,12,1,4,50
2017,2,2017-08-06,Slovenia,Czech Republic,88,80,102,1,2,1,6,4,0,65,20
2017,2,2017-08-06,Russia,Israel,71,79,103,1,2,1,6,4,0,60,39
2017,2,2017-08-07,Tunisia,Belgium,70,65,104,1,2,2,4,10,0,72,7
2017,2,2017-08-07,Great Britain,Ukraine,86,64,105,1,100,9,5,6,0,30,76
2017,2,2017-08-08,Spain,Tunisia,71,45,106,1,16,1,3,5,0,68,72
2017,2,2017-08-08,France,Croatia,87,92,107,1,3,7,2,1,0,27,18
2017,2,2017-08-08,Greece,Great Britain,92,64,108,1,7,1,1,6,1,31,30
2017,2,2017-08-09,Spain,Belgium,71,89,109,1,1,2,4,11,0,68,7
2017,2,2017-08-09,Croatia,Lithuania,82,80,110,1,1,4,2,3,0,18,47
2019,3,2017-08-09,Slovakia,Sweden,68,59,111,1,4,7,8,8,0,64,69
2017,2,2017-08-10,France,Lithuania,98,77,112,1,2,1,3,4,0,27,47
2017,2,2017-08-11,Montenegro,Greece,81,83,113,1,100,3,5,2,0,49,31
2017,2,2017-08-11,Italy,Finland,75,70,114,1,12,6,2,4,0,40,26
2017,2,2017-08-11,Iceland,Germany,66,90,115,1,13,6,9,8,0,34,29
2017,2,2017-08-11,Latvia,Poland,77,65,116,1,6,6,4,9,0,45,56
2017,2,2017-08-11,Georgia,Czech Republic,87,76,117,1,6,5,8,5,0,28,20
2017,2,2017-08-11,Russia,Hungary,84,69,118,1,5,6,7,9,0,60,33
2017,2,2017-08-12,Uruguay,Argentina,96,105,119,1,13,7,3,1,0,77,2
2017,2,2017-08-12,Serbia,Greece,93,61,120,1,7,1,1,3,1,63,31
2017,2,2017-08-12,Finland,Turkey,93,88,121,1,1,7,5,1,0,26,73
2017,2,2017-08-12,Croatia,Slovenia,85,81,122,1,3,6,3,7,0,18,65
2017,2,2017-08-12,Hungary,Iceland,56,60,123,1,1,1,10,10,0,33,34
2017,2,2017-08-12,Germany,Russia,60,89,124,1,1,1,9,8,0,29,60
2019,3,2017-08-12,Bosnia & Herzegovina,Sweden,72,88,125,1,7,3,10,9,0,8,69
2019,3,2017-08-12,Bulgaria,Portugal,91,65,126,1,10,10,9,12,0,10,57
2017,2,2017-08-13,Uruguay,Argentina,87,78,127,1,1,1,4,2,0,77,2
2017,2,2017-08-13,Montenegro,Serbia,71,82,128,1,2,1,6,2,0,49,63
2017,2,2017-08-13,Italy,Turkey,73,53,129,1,2,1,3,2,0,40,73
2017,2,2017-08-13,Israel,Great Britain,78,69,130,1,7,5,5,7,0,39,30
2017,2,2017-08-13,Slovenia,Ukraine,78,67,131,1,1,6,8,7,0,65,76
2017,2,2017-08-13,Georgia,Czech Republic,68,64,132,1,2,2,9,6,0,28,20
2017,2,2017-08-13,Germany,Hungary,67,65,133,1,1,1,10,11,0,29,33
2017,2,2017-08-13,Russia,Iceland,82,69,134,1,1,1,9,11,0,60,34
2017,2,2017-08-14,Croatia,Ukraine,79,74,135,1,2,1,4,8,0,18,76
2017,2,2017-08-15,Spain,Venezuela,90,44,136,1,6,7,5,1,0,68,78
2017,2,2017-08-15,Lithuania,France,96,71,137,1,5,5,5,4,0,47,27
2017,2,2017-08-16,Czech Republic,Turkey,66,67,138,1,3,3,7,3,0,20,73
2019,3,2017-08-16,Netherlands,Austria,71,78,139,1,11,11,13,11,0,50,4
2019,3,2017-08-16,Slovakia,Bosnia & Herzegovina,74,92,140,1,7,4,9,11,0,64,8
2019,3,2017-08-16,Estonia,North Macedonia,74,65,141,1,11,11,9,10,0,25,53
2017,2,2017-08-18,Spain,Senegal,80,69,142,1,3,7,6,1,0,68,62
2017,2,2017-08-18,France,Belgium,85,60,143,1,3,9,5,12,0,27,7
