date,division,game_nr,home,away,home_timediff,away_timediff
2025-08-30,1,1,Lithuania,Germany,1,1
2025-08-30,1,2,Czech Republic,Estonia,1,3
2025-08-30,1,3,Iceland,Belgium,2,2
2025-08-30,1,4,Italy,Georgia,2,2
2025-08-30,1,5,Great Britain,Sweden,3,1
2025-08-30,1,6,France,Slovenia,2,2
2025-08-30,1,7,Latvia,Serbia,3,3
2025-08-30,1,8,Cyprus,Greece,2,2
2025-08-30,1,9,Finland,Montenegro,3,1
2025-08-30,1,10,Turkey,Portugal,1,3
2025-08-30,1,11,Poland,Israel,2,2
2025-08-30,1,12,Spain,Bosnia & Herzegovina,2,2
2025-08-31,1,13,Georgia,Greece,1,1
2025-08-31,1,14,Slovenia,Belgium,1,1
2025-08-31,1,15,Israel,France,1,1
2025-08-31,1,16,Cyprus,Spain,1,1
2025-08-31,1,17,Bosnia & Herzegovina,Italy,1,1
2025-08-31,1,18,Poland,Iceland,1,1
2025-09-01,1,19,Sweden,Montenegro,2,2
2025-09-01,1,20,Estonia,Turkey,2,2
2025-09-01,1,21,Germany,Great Britain,2,2
2025-09-01,1,22,Latvia,Portugal,2,2
2025-09-01,1,23,Finland,Lithuania,2,2
2025-09-01,1,24,Serbia,Czech Republic,2,2
2025-09-02,1,25,Belgium,Israel,2,2
2025-09-02,1,26,Greece,Bosnia & Herzegovina,2,2
2025-09-02,1,27,Iceland,Slovenia,2,2
2025-09-02,1,28,Cyprus,Georgia,2,2
2025-09-02,1,29,Poland,France,2,2
2025-09-02,1,30,Italy,Spain,2,2
2025-09-03,1,31,Montenegro,Great Britain,2,2
2025-09-03,1,32,Estonia,Portugal,2,2
2025-09-03,1,33,Lithuania,Sweden,2,2
2025-09-03,1,34,Latvia,Czech Republic,2,2
2025-09-03,1,35,Finland,Germany,2,2
2025-09-03,1,36,Turkey,Serbia,2,2
2025-09-04,1,37,Bosnia & Herzegovina,Georgia,2,2
2025-09-04,1,38,France,Iceland,2,2
2025-09-04,1,39,Israel,Slovenia,2,2
2025-09-04,1,40,Cyprus,Italy,2,2
2025-09-04,1,41,Poland,Belgium,2,2
2025-09-04,1,42,Spain,Greece,2,2
