team,team_nr
Lithuania,47
Germany,29
Czech Republic,20
Estonia,25
Iceland,34
Belgium,7
Italy,40
Georgia,28
Great Britain,30
Sweden,69
France,27
Slovenia,65
Latvia,45
Serbia,63
Cyprus,19
Greece,31
Finland,26
Montenegro,49
Turkey,73
Portugal,57
Poland,56
Israel,39
Spain,68
Bosnia & Herzegovina,8
