season,division,date,home,away,home_goals,away_goals,game_nr,team1_home
2017,1,2016-08-31,Iceland,Switzerland,88,72,1,1
2017,1,2016-08-31,Montenegro,Slovakia,97,65,2,1
2017,1,2016-08-31,Netherlands,Austria,72,75,3,1
2017,1,2016-08-31,Poland,Portugal,83,57,4,1
2017,1,2016-08-31,Germany,Denmark,101,74,5,1
2017,1,2016-08-31,Belgium,Cyprus,65,46,6,1
2017,1,2016-08-31,Hungary,Great Britain,96,77,7,1
2017,1,2016-08-31,Ukraine,Bulgaria,79,69,8,1
2017,1,2016-08-31,Russia,Bosnia & Herzegovina,83,54,9,1
2017,1,2016-09-03,Austria,Germany,59,61,10,1
2017,1,2016-09-03,Bosnia & Herzegovina,Sweden,74,71,11,1
2017,1,2016-09-03,Great Britain,North Macedonia,96,79,12,1
2017,1,2016-09-03,Portugal,Estonia,68,76,13,1
2017,1,2016-09-03,Denmark,Netherlands,72,90,14,1
2017,1,2016-09-03,Slovakia,Georgia,63,94,15,1
2017,1,2016-09-03,Switzerland,Belgium,72,87,16,1
2017,1,2016-09-03,Bulgaria,Slovenia,78,83,17,1
2017,1,2016-09-03,Cyprus,Iceland,64,75,18,1
2017,1,2016-09-07,North Macedonia,Hungary,66,76,19,1
2017,1,2016-09-07,Belgium,Iceland,80,65,20,1
2017,1,2016-09-07,Poland,Estonia,78,64,21,1
2017,1,2016-09-07,Slovenia,Ukraine,84,77,22,1
2017,1,2016-09-07,Sweden,Russia,73,85,23,1
2017,1,2016-09-07,Germany,Netherlands,71,75,24,1
2017,1,2016-09-07,Switzerland,Cyprus,76,80,25,1
2017,1,2016-09-07,Austria,Denmark,86,66,26,1
2017,1,2016-09-07,Georgia,Montenegro,74,76,27,1
2017,1,2016-09-10,Austria,Netherlands,61,75,28,1
2017,1,2016-09-10,Bosnia & Herzegovina,Russia,67,78,29,1
2017,1,2016-09-10,Great Britain,Hungary,80,88,30,1
2017,1,2016-09-10,Portugal,Poland,74,81,31,1
2017,1,2016-09-10,Denmark,Germany,106,102,32,1
2017,1,2016-09-10,Slovakia,Montenegro,62,99,33,1
2017,1,2016-09-10,Switzerland,Iceland,83,80,34,1
2017,1,2016-09-10,Bulgaria,Ukraine,67,72,35,1
2017,1,2016-09-10,Cyprus,Belgium,55,72,36,1
2017,1,2016-09-14,Iceland,Cyprus,84,62,37,1
2017,1,2016-09-14,Belgium,Switzerland,87,49,38,1
2017,1,2016-09-14,Netherlands,Denmark,98,88,39,1
2017,1,2016-09-14,Slovenia,Bulgaria,85,63,40,1
2017,1,2016-09-14,Sweden,Bosnia & Herzegovina,76,78,41,1
2017,1,2016-09-14,Germany,Austria,78,58,42,1
2017,1,2016-09-14,North Macedonia,Great Britain,62,89,43,1
2017,1,2016-09-14,Estonia,Portugal,82,63,44,1
2017,1,2016-09-14,Georgia,Slovakia,96,68,45,1
2017,1,2016-09-17,Montenegro,Georgia,84,90,46,1
2017,1,2016-09-17,Denmark,Austria,86,72,47,1
2017,1,2016-09-17,Estonia,Poland,63,94,48,1
2017,1,2016-09-17,Netherlands,Germany,51,82,49,1
2017,1,2016-09-17,Iceland,Belgium,74,68,50,1
2017,1,2016-09-17,Hungary,North Macedonia,63,61,51,1
2017,1,2016-09-17,Cyprus,Switzerland,92,78,52,1
2017,1,2016-09-17,Ukraine,Slovenia,69,80,53,1
2017,1,2016-09-17,Russia,Sweden,63,59,54,1
2017,2,2017-06-13,China,Iran,60,63,55,1
2017,2,2017-06-16,China,Iran,72,67,56,1
2017,2,2017-06-18,China,Iran,65,55,57,1
2017,2,2017-07-12,Bulgaria,Austria,80,66,58,1
2017,2,2017-07-14,Portugal,Estonia,60,74,59,1
2017,2,2017-07-20,North Macedonia,Portugal,52,47,60,1
2017,2,2017-07-20,Bosnia & Herzegovina,Netherlands,102,96,61,1
2017,2,2017-07-21,North Macedonia,Netherlands,78,72,62,1
2017,2,2017-07-21,Bosnia & Herzegovina,Portugal,63,58,63,1
2017,2,2017-07-22,Spain,Israel,90,70,64,1
2017,2,2017-07-22,Netherlands,Portugal,66,46,65,1
2017,2,2017-07-22,Austria,Bulgaria,91,84,66,1
2017,2,2017-07-22,North Macedonia,Bosnia & Herzegovina,71,67,67,1
2017,2,2017-07-23,Spain,Israel,76,56,68,1
2017,2,2017-07-24,Estonia,Sweden,77,72,69,1
2017,2,2017-07-26,Portugal,Tunisia,70,62,70,1
2017,2,2017-07-26,Hungary,Slovakia,76,47,71,1
2017,2,2017-07-26,Sweden,Estonia,82,77,72,1
2017,2,2017-07-27,Iceland,Belgium,83,76,73,1
2017,2,2017-07-27,Portugal,Tunisia,59,68,74,1
2017,2,2017-07-27,Hungary,Slovakia,72,51,75,1
2017,2,2017-07-28,Poland,Czech Republic,101,68,76,1
2017,2,2017-07-28,Bulgaria,North Macedonia,96,74,77,1
2017,2,2017-07-29,Finland,Latvia,81,85,78,1
2017,2,2017-07-29,Iceland,Belgium,85,70,79,1
2017,2,2017-07-29,Ukraine,Netherlands,65,70,80,1
2017,2,2017-07-29,Austria,Georgia,87,77,81,1
2017,2,2017-07-29,Poland,Czech Republic,85,72,82,1
2017,2,2017-07-29,Japan,Uruguay,69,79,83,1
2017,2,2017-07-30,Italy,Netherlands,66,57,84,1
2017,2,2017-07-30,Japan,Uruguay,72,57,85,1
2017,2,2017-07-31,Angola,New Zealand,64,72,86,1
2019,3,2017-08-02,Portugal,Bulgaria,71,82,87,1
2019,3,2017-08-02,Sweden,Bosnia & Herzegovina,81,73,88,1
2017,2,2017-08-04,Slovenia,Hungary,84,64,89,1
2017,2,2017-08-04,Lithuania,Poland,59,58,90,1
2017,2,2017-08-04,Russia,Finland,91,75,91,1
2017,2,2017-08-04,Georgia,Latvia,73,69,92,1
2017,2,2017-08-05,France,Tunisia,67,53,93,1
2017,2,2017-08-05,Lithuania,Georgia,70,81,94,1
2017,2,2017-08-05,Finland,Israel,92,97,95,1
2017,2,2017-08-05,Hungary,Czech Republic,51,85,96,1
2017,2,2017-08-05,Germany,Belgium,69,71,97,1
2017,2,2017-08-05,Latvia,Poland,76,80,98,1
2019,3,2017-08-05,North Macedonia,Estonia,76,80,99,1
2019,3,2017-08-05,Bosnia & Herzegovina,Slovakia,84,71,100,1
2019,3,2017-08-05,Austria,Netherlands,72,79,101,1
2017,2,2017-08-06,Slovenia,Czech Republic,88,80,102,1
2017,2,2017-08-06,Russia,Israel,71,79,103,1
2017,2,2017-08-07,Tunisia,Belgium,70,65,104,1
2017,2,2017-08-07,Great Britain,Ukraine,86,64,105,1
2017,2,2017-08-08,Spain,Tunisia,71,45,106,1
2017,2,2017-08-08,France,Croatia,87,92,107,1
2017,2,2017-08-08,Greece,Great Britain,92,64,108,1
2017,2,2017-08-09,Spain,Belgium,71,89,109,1
2017,2,2017-08-09,Croatia,Lithuania,82,80,110,1
2019,3,2017-08-09,Slovakia,Sweden,68,59,111,1
2017,2,2017-08-10,France,Lithuania,98,77,112,1
2017,2,2017-08-11,Montenegro,Greece,81,83,113,1
2017,2,2017-08-11,Italy,Finland,75,70,114,1
2017,2,2017-08-11,Iceland,Germany,66,90,115,1
2017,2,2017-08-11,Latvia,Poland,77,65,116,1
2017,2,2017-08-11,Georgia,Czech Republic,87,76,117,1
2017,2,2017-08-11,Russia,Hungary,84,69,118,1
2017,2,2017-08-12,Uruguay,Argentina,96,105,119,1
2017,2,2017-08-12,Serbia,Greece,93,61,120,1
2017,2,2017-08-12,Finland,Turkey,93,88,121,1
2017,2,2017-08-12,Croatia,Slovenia,85,81,122,1
2017,2,2017-08-12,Hungary,Iceland,56,60,123,1
2017,2,2017-08-12,Germany,Russia,60,89,124,1
2019,3,2017-08-12,Bosnia & Herzegovina,Sweden,72,88,125,1
2019,3,2017-08-12,Bulgaria,Portugal,91,65,126,1
