iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-09-09,Poland,Turkey,88.678534,106.70046
1,2,1,2025-09-09,Lithuania,Greece,90.071591,68.799734
1,3,1,2025-09-10,Finland,Georgia,104.61052,65.864956
1,4,1,2025-09-10,Germany,Slovenia,110.0377,87.299812
2,1,1,2025-09-09,Poland,Turkey,75.06387,104.87293
2,2,1,2025-09-09,Lithuania,Greece,57.933977,87.855739
2,3,1,2025-09-10,Finland,Georgia,120.65538,84.30484
2,4,1,2025-09-10,Germany,Slovenia,102.2484,104.96187
3,1,1,2025-09-09,Poland,Turkey,82.137231,89.737351
3,2,1,2025-09-09,Lithuania,Greece,76.408802,78.380208
3,3,1,2025-09-10,Finland,Georgia,67.845995,68.233547
3,4,1,2025-09-10,Germany,Slovenia,101.7014,90.163081
4,1,1,2025-09-09,Poland,Turkey,81.298947,79.907043
4,2,1,2025-09-09,Lithuania,Greece,104.5558,72.231629
4,3,1,2025-09-10,Finland,Georgia,88.155711,75.407398
4,4,1,2025-09-10,Germany,Slovenia,104.25326,118.18878
5,1,1,2025-09-09,Poland,Turkey,61.683339,87.444563
5,2,1,2025-09-09,Lithuania,Greece,100.20852,81.352931
5,3,1,2025-09-10,Finland,Georgia,101.47982,83.058725
5,4,1,2025-09-10,Germany,Slovenia,114.63317,84.915707
6,1,1,2025-09-09,Poland,Turkey,82.649467,96.350289
6,2,1,2025-09-09,Lithuania,Greece,70.751409,72.063136
6,3,1,2025-09-10,Finland,Georgia,83.752676,73.700348
6,4,1,2025-09-10,Germany,Slovenia,102.55408,80.505503
7,1,1,2025-09-09,Poland,Turkey,73.319278,92.556967
7,2,1,2025-09-09,Lithuania,Greece,82.123931,78.794456
7,3,1,2025-09-10,Finland,Georgia,99.787195,77.404099
7,4,1,2025-09-10,Germany,Slovenia,83.347625,81.001818
8,1,1,2025-09-09,Poland,Turkey,79.613473,92.128579
8,2,1,2025-09-09,Lithuania,Greece,99.639813,81.179966
8,3,1,2025-09-10,Finland,Georgia,106.83,85.917334
8,4,1,2025-09-10,Germany,Slovenia,93.590319,91.951339
9,1,1,2025-09-09,Poland,Turkey,64.338856,86.955911
9,2,1,2025-09-09,Lithuania,Greece,103.98439,74.987869
9,3,1,2025-09-10,Finland,Georgia,89.16722,87.244649
9,4,1,2025-09-10,Germany,Slovenia,113.99349,100.97579
10,1,1,2025-09-09,Poland,Turkey,72.194894,91.807381
10,2,1,2025-09-09,Lithuania,Greece,76.261437,70.372799
10,3,1,2025-09-10,Finland,Georgia,83.423037,78.470056
