iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-09-03,Montenegro,Great Britain,101.90736,60.210261
1,2,1,2025-09-03,Estonia,Portugal,49.922592,48.802972
1,3,1,2025-09-03,Lithuania,Sweden,98.608687,75.177926
1,4,1,2025-09-03,Latvia,Czech Republic,92.488772,73.723419
1,5,1,2025-09-03,Finland,Germany,91.746654,105.31287
1,6,1,2025-09-03,Turkey,Serbia,85.143633,101.06089
1,7,1,2025-09-04,Bosnia & Herzegovina,Georgia,72.498877,87.219322
1,8,1,2025-09-04,France,Iceland,122.98348,63.428371
1,9,1,2025-09-04,Israel,Slovenia,69.090219,79.158716
1,10,1,2025-09-04,Cyprus,Italy,70.816458,95.016587
1,11,1,2025-09-04,Poland,Belgium,69.012605,51.313888
1,12,1,2025-09-04,Spain,Greece,77.018537,73.499826
2,1,1,2025-09-03,Montenegro,Great Britain,82.781058,56.077952
2,2,1,2025-09-03,Estonia,Portugal,67.890505,50.701831
2,3,1,2025-09-03,Lithuania,Sweden,98.284117,84.106949
2,4,1,2025-09-03,Latvia,Czech Republic,95.29989,79.154582
2,5,1,2025-09-03,Finland,Germany,96.924498,87.989169
2,6,1,2025-09-03,Turkey,Serbia,82.25659,115.93061
2,7,1,2025-09-04,Bosnia & Herzegovina,Georgia,86.021236,78.618051
2,8,1,2025-09-04,France,Iceland,94.801583,76.69894
2,9,1,2025-09-04,Israel,Slovenia,101.57772,95.625873
2,10,1,2025-09-04,Cyprus,Italy,39.120867,89.285404
2,11,1,2025-09-04,Poland,Belgium,87.622721,93.428052
2,12,1,2025-09-04,Spain,Greece,92.604636,73.424574
3,1,1,2025-09-03,Montenegro,Great Britain,80.541402,77.189396
3,2,1,2025-09-03,Estonia,Portugal,78.033875,58.529504
3,3,1,2025-09-03,Lithuania,Sweden,77.442595,74.096179
3,4,1,2025-09-03,Latvia,Czech Republic,86.223104,71.447948
3,5,1,2025-09-03,Finland,Germany,101.63845,92.450868
3,6,1,2025-09-03,Turkey,Serbia,79.087089,87.072765
3,7,1,2025-09-04,Bosnia & Herzegovina,Georgia,97.257815,82.814146
3,8,1,2025-09-04,France,Iceland,53.60963,61.505762
3,9,1,2025-09-04,Israel,Slovenia,88.544438,87.299141
3,10,1,2025-09-04,Cyprus,Italy,50.689826,93.213075
3,11,1,2025-09-04,Poland,Belgium,100.52729,80.511352
3,12,1,2025-09-04,Spain,Greece,83.641901,69.130692
4,1,1,2025-09-03,Montenegro,Great Britain,89.144232,63.748337
4,2,1,2025-09-03,Estonia,Portugal,76.343779,57.491861
4,3,1,2025-09-03,Lithuania,Sweden,85.596009,76.094166
4,4,1,2025-09-03,Latvia,Czech Republic,85.728736,61.840517
4,5,1,2025-09-03,Finland,Germany,94.220242,103.86477
4,6,1,2025-09-03,Turkey,Serbia,57.869439,77.658628
4,7,1,2025-09-04,Bosnia & Herzegovina,Georgia,83.549141,88.544735
4,8,1,2025-09-04,France,Iceland,91.58271,74.761463
4,9,1,2025-09-04,Israel,Slovenia,102.61537,91.54513
4,10,1,2025-09-04,Cyprus,Italy,87.314722,99.160854
4,11,1,2025-09-04,Poland,Belgium,83.113666,63.301308
4,12,1,2025-09-04,Spain,Greece,75.455305,61.391107
5,1,1,2025-09-03,Montenegro,Great Britain,117.25781,66.047388
5,2,1,2025-09-03,Estonia,Portugal,52.949621,56.401114
5,3,1,2025-09-03,Lithuania,Sweden,95.389818,74.656398
5,4,1,2025-09-03,Latvia,Czech Republic,77.65421,52.523021
5,5,1,2025-09-03,Finland,Germany,93.398065,111.93636
5,6,1,2025-09-03,Turkey,Serbia,76.13521,88.955254
5,7,1,2025-09-04,Bosnia & Herzegovina,Georgia,88.042036,105.40677
5,8,1,2025-09-04,France,Iceland,87.137853,63.273943
5,9,1,2025-09-04,Israel,Slovenia,60.964979,90.27167
5,10,1,2025-09-04,Cyprus,Italy,70.510989,108.76511
5,11,1,2025-09-04,Poland,Belgium,67.552492,68.555151
