date,home,away,home_score,away_score
20.08. 18:15,Slovenia,Croatia,94,88
19.08. 19:00,Senegal,Cape Verde,86,55
19.08. 18:00,Greece,Turkey,89,80
19.08. 16:30,Lithuania,Netherlands,94,68
19.08. 16:00,Latvia,Estonia,80,69
19.08. 16:00,Slovakia,Switzerland,62,68
19.08. 15:00,Georgia,Poland,76,87
18.08. 18:30,France,Belgium,90,71
18.08. 18:00,Greece,Georgia,80,67
18.08. 17:30,Israel,Romania,105,61
18.08. 17:00,Croatia,Hungary,84,64
18.08. 16:30,Lithuania,Spain,78,76
18.08. 16:00,Slovakia,Switzerland,57,59
18.08. 15:30AOT,Finland,Ukraine,97,94
18.08. 15:00,Turkey,Poland,86,87
17.08. 20:00,Senegal,Cape Verde,89,72
17.08. 18:15AOT,Slovenia,Serbia,97,92
17.08. 18:00,Greece,Poland,101,78
17.08. 15:00,Georgia,Turkey,88,101
16.08. 18:30,France,Italy,100,68
16.08. 17:30,Spain,Lithuania,77,82
16.08. 17:00,Israel,Romania,112,61
16.08. 17:00,Montenegro,North Macedonia,89,53
14.08. 16:00,Turkey,Poland,94,78
14.08. 15:30,Croatia,Czech Republic,83,95
14.08. 14:00,Bosnia & Herzegovina,Estonia,89,102
14.08. 03:50,Japan,Iran,80,58
13.08. 17:00,Ukraine,Slovenia,82,86
13.08. 15:30,Bulgaria,Croatia,68,98
13.08. 15:00,Belgium,Bosnia & Herzegovina,68,74
13.08. 04:30,Japan,Iran,82,77
12.08. 18:30AOT,Italy,France,77,78
12.08. 17:00,Netherlands,Germany,66,68
12.08. 17:00AOT,Turkey,Slovenia,103,104
12.08. 16:00,Estonia,Belgium,79,66
12.08. 15:30,Czech Republic,Bulgaria,93,60
12.08. 15:00,Georgia,Israel,96,104
12.08. 15:00,Hungary,Slovakia,72,67
12.08. 14:00,Poland,Ukraine,60,88
11.08. 17:30,Spain,Greece,87,80
11.08. 17:00,Turkey,Ukraine,96,70
11.08. 16:30,Lithuania,Finland,87,52
10.08. 18:30,Belgium,Germany,83,87
10.08. 16:30,Lithuania,Finland,76,61
09.08. 16:00,Greece,Spain,86,70
07.08. 16:30,Lithuania,Estonia,90,88
07.08. 15:00,France,Netherlands,89,65
06.08. 18:15,Slovenia,Montenegro,70,52
06.08. 16:30,Finland,Belgium,80,71
06.08. 16:00,Hungary,Georgia,78,75
05.08. 18:15,Netherlands,Montenegro,67,76
05.08. 16:00,Hungary,Georgia,89,88
04.08. 18:15,Slovenia,Netherlands,83,76
04.08. 16:35,Lithuania,Estonia,84,70
04.08. 16:30,Finland,Belgium,71,75
10.07. 17:00,Portugal U20,Belgium U20,60,60
10.07. 16:00,North Macedonia U20,Switzerland U20,70,49
10.07. 16:00,Slovenia U20,Italy U20,82,66
10.07. 15:00,Bulgaria U20,Romania U20,97,54
09.07. 17:00,Croatia U20,Lithuania U20,64,82
09.07. 16:00,Turkey U20,Greece U20,91,81
09.07. 13:30,Netherlands U20,Georgia U20,71,90
09.07. 12:00,North Macedonia U20,Switzerland U20,77,58
08.07. 17:00,Croatia U20,Lithuania U20,96,91
08.07. 16:00,Turkey U20,Netherlands U20,88,79
08.07. 13:30,Greece U20,Georgia U20,89,58
08.07. 10:00,Portugal U20,Belgium U20,57,70
07.07. 16:00,Turkey U20,Georgia U20,77,72
07.07. 13:30,Greece U20,Netherlands U20,104,78
07.07. 10:30,Finland U20,Sweden U20,65,55
06.07. 15:00,Finland U20,Sweden U20,88,66
27.06. 19:15,Portugal U20,Spain U20,51,74
27.06. 15:00,France U20,Czech Republic U20,105,36
27.06. 15:00,Montenegro U20,North Macedonia U20,80,75
26.06. 17:00,Montenegro U20,North Macedonia U20,80,69
26.06. 16:45,Greece U20,Poland U20,62,61
26.06. 16:30,Lithuania,Latvia,98,62
26.06. 16:00,Croatia U20,Germany U20,75,82
26.06. 15:00,France U20,Czech Republic U20,96,53
25.06. 18:30,Italy,Slovenia,71,90
25.06. 17:00,Portugal,Ukraine,77,76
25.06. 16:00,Belgium,Netherlands,73,71
25.06. 16:00,Croatia U20,Germany U20,70,72
25.06. 16:00,Tunisia,Ivory Coast,80,67
25.06. 15:00,Egypt,Uganda,89,59
24.06. 19:00,Slovakia,Ukraine,61,75
24.06. 18:00,Tunisia,Ivory Coast,73,64
24.06. 15:00,Jordan,Rwanda,51,61
23.06. 19:00,Portugal,Slovakia,73,80
23.06. 18:00,Rwanda,Egypt,58,71
23.06. 15:00,Uganda,Jordan,66,78
22.06. 15:30,Latvia,Lithuania,70,52
22.06. 15:00,Rwanda,Uganda,84,45
21.06. 15:00,Egypt,Jordan,58,45
18.06. 10:00,South Korea,Philippines,106,102
17.06. 10:00,Estonia,Finland,74,74
17.06. 10:00,South Korea,Philippines,96,92
16.06. 15:00AOT,Estonia,Finland,72,76
