date,home,away,home_score,away_score
17.09. 18:30,Slovenia,Serbia,93,85
17.09. 14:00,Spain,Russia,93,85
15.09. 18:30,Russia,Serbia,79,87
14.09. 18:30,Spain,Slovenia,72,92
13.09. 18:30,Italy,Serbia,67,83
13.09. 15:45,Greece,Russia,69,74
12.09. 18:30,Slovenia,Latvia,103,97
12.09. 15:45,Germany,Spain,72,84
10.09. 18:30,Croatia,Russia,78,101
10.09. 15:45,Spain,Turkey,73,56
10.09. 12:15,Serbia,Hungary,86,78
10.09. 09:30,Latvia,Montenegro,100,68
09.09. 18:30,Lithuania,Greece,64,77
09.09. 15:45,Finland,Italy,57,70
09.09. 12:15,Germany,France,84,81
09.09. 09:30,Slovenia,Ukraine,79,55
07.09. 17:45,Latvia,Turkey,89,79
07.09. 17:45,Montenegro,Romania,86,69
07.09. 14:15,Belgium,Serbia,54,74
07.09. 14:15,Hungary,Spain,64,87
07.09. 11:30,Czech Republic,Croatia,69,107
07.09. 11:30,Russia,Great Britain,82,70
06.09. 17:45,Finland,Iceland,83,79
06.09. 17:45,Israel,Ukraine,64,88
06.09. 14:30,Georgia,Italy,69,71
06.09. 14:30,Greece,Poland,95,77
06.09. 11:45,Germany,Lithuania,72,89
06.09. 11:45,Slovenia,France,95,78
05.09. 18:30AOT,Israel,Georgia,91,104
05.09. 18:00,Turkey,Belgium,78,65
05.09. 17:30,Romania,Hungary,71,80
05.09. 17:00,Greece,Finland,77,89
05.09. 15:30,Italy,Germany,55,61
05.09. 14:45,Croatia,Spain,73,79
05.09. 14:00,Great Britain,Serbia,68,82
05.09. 13:30,Poland,France,75,78
05.09. 12:45,Ukraine,Lithuania,62,94
05.09. 12:00,Czech Republic,Montenegro,75,88
05.09. 11:15,Russia,Latvia,69,84
05.09. 10:45,Iceland,Slovenia,75,102
04.09. 18:00,Serbia,Turkey,80,74
04.09. 17:30,Spain,Romania,91,50
04.09. 14:45,Montenegro,Croatia,72,76
04.09. 14:00,Belgium,Russia,67,76
04.09. 12:00,Hungary,Czech Republic,85,73
04.09. 11:15,Latvia,Great Britain,97,92
03.09. 18:30,Germany,Israel,80,82
03.09. 17:00AOT,Finland,Poland,90,87
03.09. 15:30,Lithuania,Italy,78,73
03.09. 13:30,Slovenia,Greece,78,72
03.09. 12:45,Georgia,Ukraine,81,88
03.09. 10:45,France,Iceland,115,79
02.09. 18:30,Israel,Lithuania,73,88
02.09. 18:00,Great Britain,Turkey,70,84
02.09. 17:30,Croatia,Romania,74,58
02.09. 17:00,Finland,Slovenia,78,81
02.09. 15:30,Ukraine,Italy,66,78
02.09. 14:45,Czech Republic,Spain,56,93
02.09. 14:00,Russia,Serbia,75,72
02.09. 13:30,Greece,France,87,95
02.09. 12:45,Georgia,Germany,57,67
02.09. 12:00,Montenegro,Hungary,72,48
02.09. 11:15,Latvia,Belgium,92,64
02.09. 10:45,Poland,Iceland,91,61
01.09. 18:00,Turkey,Russia,73,76
01.09. 17:30,Romania,Czech Republic,68,83
01.09. 14:45,Spain,Montenegro,99,60
01.09. 14:00,Serbia,Latvia,92,82
01.09. 12:00,Hungary,Croatia,58,67
01.09. 11:15,Belgium,Great Britain,103,90
31.08. 18:30,Italy,Israel,69,48
31.08. 17:00AOT,France,Finland,84,86
31.08. 15:30,Lithuania,Georgia,77,79
31.08. 13:30,Iceland,Greece,61,90
31.08. 12:45,Germany,Ukraine,75,63
31.08. 10:45,Slovenia,Poland,90,81
17.09. 19:00,Montenegro,Georgia,84,90
17.09. 18:00,Kosovo,Bulgaria,62,67
17.09. 17:30,Luxembourg,Great Britain,82,75
17.09. 17:00,Albania,Slovakia,72,65
17.09. 17:00,Denmark,Austria,86,72
17.09. 17:00,Estonia,Poland,63,94
17.09. 17:00,Netherlands,Germany,51,82
17.09. 17:00,Portugal,Belarus,77,62
