iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-09-02,Belgium,Israel,67.875478,71.148682
1,2,1,2025-09-02,Greece,Bosnia & Herzegovina,66.812198,69.881547
1,3,1,2025-09-02,Iceland,Slovenia,65.334768,90.107278
1,4,1,2025-09-02,Cyprus,Georgia,71.422746,78.35731
1,5,1,2025-09-02,Poland,France,72.004196,74.014913
1,6,1,2025-09-02,Italy,Spain,61.455565,68.269322
1,7,1,2025-09-03,Montenegro,Great Britain,79.078132,74.051289
1,8,1,2025-09-03,Estonia,Portugal,63.63709,67.947552
1,9,1,2025-09-03,Lithuania,Sweden,95.52091,64.604473
1,10,1,2025-09-03,Latvia,Czech Republic,103.36081,87.100282000000007
1,11,1,2025-09-03,Finland,Germany,82.586175,98.929773
1,12,1,2025-09-03,Turkey,Serbia,73.611597,84.046061
1,13,1,2025-09-04,Bosnia & Herzegovina,Georgia,94.048501,100.65267
1,14,1,2025-09-04,France,Iceland,106.89571,67.799326
1,15,1,2025-09-04,Israel,Slovenia,85.364837,81.841839
1,16,1,2025-09-04,Cyprus,Italy,44.200422,90.436924
1,17,1,2025-09-04,Poland,Belgium,80.318528,72.567605
1,18,1,2025-09-04,Spain,Greece,75.412779,69.538491
2,1,1,2025-09-02,Belgium,Israel,33.979288,89.042108
2,2,1,2025-09-02,Greece,Bosnia & Herzegovina,93.983558,76.151022
2,3,1,2025-09-02,Iceland,Slovenia,98.610258,103.805
2,4,1,2025-09-02,Cyprus,Georgia,71.225309,97.921377
2,5,1,2025-09-02,Poland,France,83.719885,83.44795
2,6,1,2025-09-02,Italy,Spain,81.337963,79.978337
2,7,1,2025-09-03,Montenegro,Great Britain,88.357,85.875738
2,8,1,2025-09-03,Estonia,Portugal,63.812785,77.889884
2,9,1,2025-09-03,Lithuania,Sweden,95.987337,70.178983
2,10,1,2025-09-03,Latvia,Czech Republic,92.071933,65.24902
2,11,1,2025-09-03,Finland,Germany,95.056231,96.102732
2,12,1,2025-09-03,Turkey,Serbia,56.415862,60.796653
2,13,1,2025-09-04,Bosnia & Herzegovina,Georgia,89.955938,76.271665
2,14,1,2025-09-04,France,Iceland,85.832919,79.855
2,15,1,2025-09-04,Israel,Slovenia,70.623625,95.214159
2,16,1,2025-09-04,Cyprus,Italy,45.645486,81.341494
2,17,1,2025-09-04,Poland,Belgium,83.3163,74.145278
2,18,1,2025-09-04,Spain,Greece,79.687283,72.663363
3,1,1,2025-09-02,Belgium,Israel,70.077917,92.926006
3,2,1,2025-09-02,Greece,Bosnia & Herzegovina,91.220925,85.73707
3,3,1,2025-09-02,Iceland,Slovenia,72.140561,119.19057
3,4,1,2025-09-02,Cyprus,Georgia,57.228744,77.725573
3,5,1,2025-09-02,Poland,France,81.233247,66.743337
3,6,1,2025-09-02,Italy,Spain,59.63471,71.632555
3,7,1,2025-09-03,Montenegro,Great Britain,74.24569,58.62144
3,8,1,2025-09-03,Estonia,Portugal,72.739821,92.561693
3,9,1,2025-09-03,Lithuania,Sweden,102.08407,77.097663
3,10,1,2025-09-03,Latvia,Czech Republic,128.28683,51.877199
3,11,1,2025-09-03,Finland,Germany,95.456297,82.275442
3,12,1,2025-09-03,Turkey,Serbia,88.677673,94.372318
3,13,1,2025-09-04,Bosnia & Herzegovina,Georgia,87.75798,82.489237
3,14,1,2025-09-04,France,Iceland,84.911792,65.671636
3,15,1,2025-09-04,Israel,Slovenia,84.89231,99.726544
3,16,1,2025-09-04,Cyprus,Italy,49.61544,80.667864
3,17,1,2025-09-04,Poland,Belgium,78.848269,65.866544
3,18,1,2025-09-04,Spain,Greece,86.583459,59.072046
4,1,1,2025-09-02,Belgium,Israel,67.771398,80.333799
4,2,1,2025-09-02,Greece,Bosnia & Herzegovina,72.578866,74.436179
4,3,1,2025-09-02,Iceland,Slovenia,85.465184,99.458238
4,4,1,2025-09-02,Cyprus,Georgia,59.616897,81.301791
4,5,1,2025-09-02,Poland,France,76.303109,56.334379
4,6,1,2025-09-02,Italy,Spain,67.478039,76.72924
4,7,1,2025-09-03,Montenegro,Great Britain,92.094507,60.439456
4,8,1,2025-09-03,Estonia,Portugal,59.746631,67.137518
4,9,1,2025-09-03,Lithuania,Sweden,70.129222,74.671669
4,10,1,2025-09-03,Latvia,Czech Republic,89.208711,78.986041
4,11,1,2025-09-03,Finland,Germany,99.385372,91.651118
4,12,1,2025-09-03,Turkey,Serbia,76.936409,91.905574
4,13,1,2025-09-04,Bosnia & Herzegovina,Georgia,87.672254,65.827464
4,14,1,2025-09-04,France,Iceland,100.9867,68.818714
4,15,1,2025-09-04,Israel,Slovenia,95.970212,97.754965
4,16,1,2025-09-04,Cyprus,Italy,71.938416,59.264915
4,17,1,2025-09-04,Poland,Belgium,81.512606,81.631312
4,18,1,2025-09-04,Spain,Greece,91.82797,50.798627
5,1,1,2025-09-02,Belgium,Israel,75.1434,91.610383
