date,division,game_nr,home,away,home_timediff,away_timediff
2025-09-02,1,1,Belgium,Israel,2,2
2025-09-02,1,2,Greece,Bosnia & Herzegovina,2,2
2025-09-02,1,3,Iceland,Slovenia,2,2
2025-09-02,1,4,Cyprus,Georgia,2,2
2025-09-02,1,5,Poland,France,2,2
2025-09-02,1,6,Italy,Spain,2,2
2025-09-03,1,7,Montenegro,Great Britain,2,2
2025-09-03,1,8,Estonia,Portugal,2,2
2025-09-03,1,9,Lithuania,Sweden,2,2
2025-09-03,1,10,Latvia,Czech Republic,2,2
2025-09-03,1,11,Finland,Germany,2,2
2025-09-03,1,12,Turkey,Serbia,2,2
2025-09-04,1,13,Bosnia & Herzegovina,Georgia,2,2
2025-09-04,1,14,France,Iceland,2,2
2025-09-04,1,15,Israel,Slovenia,2,2
2025-09-04,1,16,Cyprus,Italy,2,2
2025-09-04,1,17,Poland,Belgium,2,2
2025-09-04,1,18,Spain,Greece,2,2
