date,home,away,home_score,away_score
22.08. 12:00,Jordan,South Sudan,82,91
22.08. 11:00,Lithuania,Latvia,93,69
22.08. 08:00,Georgia,Australia,81,86
21.08. 12:00,Philippines,Mexico,77,84
21.08. 12:00,Serbia,Brazil,89,85
21.08. 12:00AOT,Venezuela,Iran,87,89
21.08. 09:30,Italy,New Zealand,88,81
20.08. 16:00,USA,Germany,99,91
20.08. 12:00,Philippines,Montenegro,87,102
20.08. 12:00,South Sudan,Iran,77,71
20.08. 11:30,Serbia,China,87,64
20.08. 08:30,Venezuela,Jordan,87,89
20.08. 07:00,Italy,Brazil,93,87
20.08. 06:00,Latvia,Puerto Rico,84,72
20.08. 04:00,France,Australia,74,78
19.08. 20:15,Spain,Dominican Republic,86,77
19.08. 16:00,Greece,Germany,71,84
19.08. 06:00,Japan,Slovenia,68,103
19.08. 06:00,Lithuania,Puerto Rico,93,80
18.08. 19:30,Canada,Dominican Republic,88,94
18.08. 16:00,USA,Greece,108,86
18.08. 13:00,Lebanon,Mexico,70,88
18.08. 12:00,Philippines,Ivory Coast,85,62
18.08. 11:30,Shenzhen,New Zealand,67,77
17.08. 19:30AOT,Spain,Canada,80,85
17.08. 16:00,Lebanon,Egypt,70,64
17.08. 10:00,Japan,France,70,88
17.08. 09:45,Australia,South Sudan,88,67
17.08. 07:30,Venezuela,Brazil,71,83
16.08. 17:00,Serbia,Puerto Rico,110,75
16.08. 16:30,Latvia,Finland,94,57
16.08. 09:45,South Sudan,Venezuela,80,61
16.08. 07:30,Australia,Brazil,86,90
15.08. 17:30,Lebanon,Ivory Coast,67,77
15.08. 10:00,Japan,Angola,75,65
14.08. 16:30,Lithuania,Finland,84,80
14.08. 13:30,Georgia,Iran,84,72
14.08. 09:45,Australia,Venezuela,97,41
14.08. 07:30,Brazil,South Sudan,85,75
13.08. 19:30,Spain,USA,88,98
13.08. 19:00,Italy,Puerto Rico,98,65
13.08. 15:00,Georgia,Montenegro,84,79
13.08. 12:15,Iran,Jordan,81,73
12.08. 19:30,USA,Slovenia,92,62
12.08. 15:00,Georgia,Jordan,86,69
12.08. 12:15,Iran,Montenegro,66,81
11.08. 19:30,Spain,Slovenia,99,79
11.08. 16:30,Lithuania,France,70,76
11.08. 15:10,Latvia,Dominican Republic,74,69
10.08. 16:45,Greece,Italy,70,74
09.08. 18:30,France,Lithuania,90,72
09.08. 17:30,Germany,Canada,86,81
09.08. 16:45,Serbia,Italy,88,89
09.08. 15:30,Finland,Estonia,86,80
09.08. 14:00,Russia,Iran,71,57
09.08. 14:00,Turkey,Poland,98,73
08.08. 17:00,Turkey,Poland,87,84
08.08. 16:45,Greece,Serbia,64,71
08.08. 16:00,Slovenia,Montenegro,104,100
08.08. 02:00,USA,Puerto Rico,117,74
07.08. 18:30,France,Venezuela,86,67
07.08. 17:00,Jordan,Mexico,86,72
07.08. 15:00,Angola,Portugal,67,72
07.08. 14:00,Russia,Iran,72,59
07.08. 10:15,Ukraine,Netherlands,75,76
06.08. 21:00,Chile,Argentina,68,70
06.08. 15:00,Belgium,Czech Republic,75,73
06.08. 11:00,North Macedonia,Poland,52,84
