season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,1,2016-09-17,Cyprus,Switzerland,92,78,70,1,3,3,6,6,0,20,76
2017,1,2016-09-17,Ukraine,Slovenia,69,80,71,1,3,3,6,6,0,82,71
2017,1,2016-09-17,Russia,Sweden,63,59,72,1,7,3,4,4,0,66,75
2017,2,2017-06-13,China,Iran,60,63,73,1,7,7,1,1,1,17,38
2017,2,2017-06-16,China,Iran,72,67,74,1,3,3,2,2,0,17,38
2017,2,2017-06-18,China,Iran,65,55,75,1,2,2,3,3,0,17,38
2017,2,2017-07-12,Bulgaria,Austria,80,66,76,1,100,100,7,7,0,11,5
2017,2,2017-07-14,Portugal,Estonia,60,74,77,1,100,100,5,5,0,62,26
2017,2,2017-07-18,Slovakia,Kosovo,61,69,78,1,100,100,7,7,0,70,47
2017,2,2017-07-19,Slovakia,Kosovo,75,73,79,1,1,1,8,8,0,70,47
2017,2,2017-07-20,North Macedonia,Portugal,52,47,80,1,100,6,7,6,0,57,62
2017,2,2017-07-20,Bosnia & Herzegovina,Netherlands,102,96,81,1,100,100,5,7,0,9,54
2017,2,2017-07-21,North Macedonia,Netherlands,78,72,82,1,1,1,8,8,0,57,54
2017,2,2017-07-21,Bosnia & Herzegovina,Portugal,63,58,83,1,1,1,6,7,0,9,62
2017,2,2017-07-22,Spain,Israel,90,70,84,1,7,7,1,1,1,74,41
2017,2,2017-07-22,Netherlands,Portugal,66,46,85,1,1,1,9,8,0,54,62
2017,2,2017-07-22,Austria,Bulgaria,91,84,86,1,10,10,8,8,0,5,11
2017,2,2017-07-22,North Macedonia,Bosnia & Herzegovina,71,67,87,1,1,1,9,7,0,57,9
2017,2,2017-07-23,Spain,Israel,76,56,88,1,1,1,2,2,0,74,41
2017,2,2017-07-23,Romania,Tunisia,71,79,89,1,7,7,1,1,1,65,78
2017,2,2017-07-24,Estonia,Sweden,77,72,90,1,10,100,6,5,0,26,75
2017,2,2017-07-26,Portugal,Tunisia,70,62,91,1,4,3,9,2,0,62,78
2017,2,2017-07-26,Hungary,Slovakia,76,47,92,1,100,7,7,9,0,34,70
2017,2,2017-07-26,Sweden,Estonia,82,77,93,1,2,2,6,7,0,75,26
2017,2,2017-07-27,Iceland,Belgium,83,76,94,1,100,100,7,7,0,35,8
2017,2,2017-07-27,Portugal,Tunisia,59,68,95,1,1,1,10,3,0,62,78
2017,2,2017-07-27,Hungary,Slovakia,72,51,96,1,1,1,8,10,0,34,70
2017,2,2017-07-28,Poland,Czech Republic,101,68,97,1,100,7,5,1,0,61,21
2017,2,2017-07-28,Romania,Israel,73,83,98,1,5,5,2,3,0,65,41
2017,2,2017-07-28,Bulgaria,North Macedonia,96,74,99,1,6,6,9,10,0,11,57
2017,2,2017-07-29,Finland,Latvia,81,85,100,1,7,7,1,1,1,27,48
2017,2,2017-07-29,Iceland,Belgium,85,70,101,1,2,2,8,8,0,35,8
2017,2,2017-07-29,Ukraine,Netherlands,65,70,102,1,100,7,7,10,0,82,54
2017,2,2017-07-29,Austria,Georgia,87,77,103,1,7,100,9,7,0,5,29
2017,2,2017-07-29,Poland,Czech Republic,85,72,104,1,1,1,6,2,0,61,21
2017,2,2017-07-29,Japan,Uruguay,69,79,105,1,7,7,1,1,1,44,83
2017,2,2017-07-30,Italy,Netherlands,66,57,106,1,7,1,1,11,1,42,54
2017,2,2017-07-30,Romania,Israel,81,85,107,1,2,2,3,4,0,65,41
2017,2,2017-07-30,Japan,Uruguay,72,57,108,1,1,1,2,2,0,44,83
2017,2,2017-07-31,Angola,New Zealand,64,72,109,1,7,7,1,1,1,2,55
2019,3,2017-08-02,Albania,Austria,51,79,110,1,100,4,7,10,1,1,5
2019,3,2017-08-02,Kosovo,North Macedonia,72,68,111,1,14,5,9,11,1,47,57
2019,3,2017-08-02,Portugal,Bulgaria,71,82,112,1,6,5,11,10,1,62,11
2019,3,2017-08-02,Sweden,Bosnia & Herzegovina,81,73,113,1,7,11,7,8,1,75,9
2017,2,2017-08-04,Slovenia,Hungary,84,64,114,1,100,8,7,9,0,71,34
2017,2,2017-08-04,Lithuania,Poland,59,58,115,1,7,6,1,7,1,50,61
2017,2,2017-08-04,Russia,Finland,91,75,116,1,100,6,5,2,0,66,27
2017,2,2017-08-04,Georgia,Latvia,73,69,117,1,6,6,8,2,0,29,48
2017,2,2017-08-05,France,Tunisia,67,53,118,1,7,9,1,4,1,28,78
2017,2,2017-08-05,Lithuania,Georgia,70,81,119,1,1,1,2,9,0,50,29
2017,2,2017-08-05,Finland,Israel,92,97,120,1,1,6,3,5,0,27,41
2017,2,2017-08-05,Hungary,Czech Republic,51,85,121,1,1,7,10,3,0,34,21
2017,2,2017-08-05,Germany,Belgium,69,71,122,1,100,7,7,9,0,30,8
2017,2,2017-08-05,Latvia,Poland,76,80,123,1,1,1,3,8,0,48,61
2019,3,2017-08-05,North Macedonia,Estonia,76,80,124,1,3,10,12,8,0,57,26
2019,3,2017-08-05,Bosnia & Herzegovina,Slovakia,84,71,125,1,3,9,9,11,0,9,70
2019,3,2017-08-05,Austria,Netherlands,72,79,126,1,3,6,11,12,0,5,54
