date,home,away,home_score,away_score
25.11. 11:00,Vietnam,Hong Kong,91,90
26.09. 11:00,Indonesia,Malaysia Dragons,76,47
28.08. 12:00,Australia,Germany,64,74
28.08. 11:30,Spain,Russia,55,74
27.08. 11:30,France,Serbia,56,61
27.08. 11:30,Poland,Montenegro,65,70
27.08. 11:30,Spain,Argentina,84,76
27.08. 11:30,Venezuela,Greece,51,74
27.08. 09:00,Czech Republic,Lithuania,79,82
27.08. 07:00,Senegal,Jordan,69,64
27.08. 06:30,South Korea,Angola,91,76
26.08. 11:30,Greece,Dominican Republic,87,75
26.08. 11:30,Italy,New Zealand,82,88
26.08. 11:30,Jordan,China B,84,72
26.08. 11:30,Russia,Argentina,64,85
26.08. 09:30,USA,Canada,84,68
25.08. 11:30,China,Brazil,70,73
25.08. 11:30,China,Dominican Republic,72,87
25.08. 11:30,Senegal,Puerto Rico,90,61
25.08. 11:30,Serbia,New Zealand,88,78
25.08. 08:30,Lithuania,Angola,91,56
25.08. 07:00,Iran,Poland,83,88
25.08. 06:00,South Korea,Czech Republic,89,97
24.08. 12:00AOT,Poland,Nigeria,84,87
24.08. 11:30,Greece,Jordan,92,65
24.08. 11:30,New Zealand,France,81,95
24.08. 08:30,Angola,Czech Republic,65,84
24.08. 06:05,Japan,Germany,86,83
24.08. 06:00,South Korea,Lithuania,57,86
24.08. 04:00,USA,Australia,94,98
23.08. 11:30,China,Brazil,84,90
23.08. 11:30,Senegal,Venezuela,74,81
23.08. 11:30,Serbia,Italy,71,65
23.08. 11:00,Turkey,Puerto Rico,72,64
23.08. 08:00,Germany,Tunisia,89,70
22.08. 19:30,Spain,Dominican Republic,102,70
22.08. 10:00,Japan,Argentina,93,108
22.08. 09:30,USA,Australia,102,86
21.08. 16:30,Poland,Netherlands,77,71
21.08. 09:30AOT,Canada,New Zealand,103,100
20.08. 09:30,Canada,New Zealand,122,88
18.08. 16:00,Finland,Russia,67,81
17.08. 18:30,France,Argentina,77,58
17.08. 16:00,Brazil,Montenegro,80,69
17.08. 16:00,Lithuania,Russia,88,72
17.08. 09:30,Australia,Canada,81,73
17.08. 02:00,USA,Spain,90,81
16.08. 18:30,France,Brazil,86,72
16.08. 16:00,Finland,Lithuania,46,87
16.08. 16:00,Montenegro,Argentina,77,85
16.08. 09:30,Australia,Canada,70,90
15.08. 18:30,France,Montenegro,80,72
15.08. 16:00,Argentina,Brazil,82,89
14.08. 13:00,Jordan,Senegal,71,63
14.08. 10:00,Japan,New Zealand,87,104
13.08. 16:00,Turkey,Jordan,106,72
12.08. 17:00,Lithuania,Serbia,91,95
12.08. 16:00,Turkey,Senegal,94,59
12.08. 11:30,China,Puerto Rico,78,72
12.08. 08:00,Angola,Croatia,93,73
12.08. 08:00,Japan,New Zealand,99,89
11.08. 16:30,Greece,Iran,88,58
11.08. 16:00,Germany,Sweden,78,46
11.08. 16:00,Poland,Tunisia,64,75
11.08. 13:00,Czech Republic,Jordan,98,67
11.08. 11:30,Puerto Rico,Angola,66,64
11.08. 08:00,China,Croatia,89,73
10.08. 19:00,Serbia,Lithuania,72,68
10.08. 18:30,Italy,Venezuela,72,54
10.08. 18:30,Tunisia,Jordan,80,68
10.08. 16:00,Russia,Senegal,73,56
10.08. 15:30,Czech Republic,Poland,81,76
10.08. 00:00,Canada,Nigeria,81,90
09.08. 20:00,Spain,Ivory Coast,79,62
09.08. 18:30,Italy,Russia,70,72
09.08. 18:00,Greece,Hungary,83,59
09.08. 18:00,Poland,Jordan,92,51
09.08. 17:30,Philippines,D.R. Congo,71,82
09.08. 16:00,Senegal,Venezuela,75,69
09.08. 15:00,Czech Republic,Tunisia,80,66
09.08. 00:00,Brazil,Uruguay,100,53
08.08. 18:30,Italy,Senegal,111,54
08.08. 18:00,Greece,Iran,82,69
08.08. 16:00,Russia,Venezuela,69,54
07.08. 23:00,Canada,Nigeria,96,87
07.08. 19:00,Serbia,Finland,95,75
07.08. 18:30,France,Tunisia,94,56
06.08. 17:00,Tunisia,Turkey,54,64
05.08. 18:30,France,Turkey,69,74
04.08. 16:30,Lithuania,Finland,80,60
04.08. 11:00,Iran,Russia,91,84
03.08. 14:00,Jordan,Iran,70,82
02.08. 19:30,Spain,Lithuania,78,70
31.07. 18:30,Italy,Ivory Coast,69,58
31.07. 16:00,Romania,Switzerland,66,86
30.07. 18:30,Italy,Romania,88,60
28.07. 16:30,Portugal,Iran,70,74
28.07. 14:00,Slovakia,Denmark,74,70
28.07. 00:00,Argentina,Puerto Rico,76,67
27.07. 18:30,Portugal,Slovakia,71,76
27.07. 16:30,Denmark,Iran,94,99
26.07. 22:00,Argentina,Uruguay,92,64
26.07. 19:30,Portugal,Denmark,56,70
26.07. 17:30,Iran,Slovakia,79,74
