iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-09-12,Greece,Turkey,74.394999,73.91919
1,2,1,2025-09-12,Finland,Germany,75.412595,91.287469
1,3,1,2025-09-14,Finland,Greece,96.40333,105.24028
1,4,1,2025-09-14,Turkey,Germany,77.770663,86.026216
2,1,1,2025-09-12,Greece,Turkey,74.901325,81.242979
2,2,1,2025-09-12,Finland,Germany,82.059674,95.179854
2,3,1,2025-09-14,Finland,Greece,106.81224,75.469573
2,4,1,2025-09-14,Turkey,Germany,77.510211,93.787017
3,1,1,2025-09-12,Greece,Turkey,76.731715,95.570854
3,2,1,2025-09-12,Finland,Germany,93.004241,87.333501
3,3,1,2025-09-14,Finland,Greece,98.797292,93.930703
3,4,1,2025-09-14,Turkey,Germany,88.628653,87.427326
4,1,1,2025-09-12,Greece,Turkey,74.996737,116.97636
4,2,1,2025-09-12,Finland,Germany,98.778772,83.569988
4,3,1,2025-09-14,Finland,Greece,101.75477,92.890019
4,4,1,2025-09-14,Turkey,Germany,73.480397,85.529515
5,1,1,2025-09-12,Greece,Turkey,69.269314,80.65653
5,2,1,2025-09-12,Finland,Germany,70.756958,112.26873
5,3,1,2025-09-14,Finland,Greece,86.414503,79.118543
5,4,1,2025-09-14,Turkey,Germany,82.780908,101.86383
6,1,1,2025-09-12,Greece,Turkey,73.817634,93.904659
6,2,1,2025-09-12,Finland,Germany,109.40912,112.7498
6,3,1,2025-09-14,Finland,Greece,101.67372,92.593576
6,4,1,2025-09-14,Turkey,Germany,90.545404,99.876304
7,1,1,2025-09-12,Greece,Turkey,77.741569,84.491841
7,2,1,2025-09-12,Finland,Germany,96.22218,93.522925
7,3,1,2025-09-14,Finland,Greece,82.889347,73.083125
7,4,1,2025-09-14,Turkey,Germany,94.623192,85.759906
8,1,1,2025-09-12,Greece,Turkey,72.643638,78.899903
8,2,1,2025-09-12,Finland,Germany,95.936941,111.24009
8,3,1,2025-09-14,Finland,Greece,97.263252,66.609225
8,4,1,2025-09-14,Turkey,Germany,88.336531,95.76317
9,1,1,2025-09-12,Greece,Turkey,66.564645,69.812273
