iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-09-06,Turkey,Sweden,85.452077,63.763971
1,2,1,2025-09-06,Germany,Portugal,85.229929,72.695815
1,3,1,2025-09-06,Latvia,Lithuania,99.609316,71.431307
1,4,1,2025-09-06,Finland,Serbia,82.581256,84.639269
1,5,1,2025-09-07,Poland,Bosnia & Herzegovina,61.477924,98.580863
1,6,1,2025-09-07,France,Georgia,73.223211,68.239925
1,7,1,2025-09-07,Italy,Slovenia,80.9596,81.848147
1,8,1,2025-09-07,Greece,Israel,71.963151,69.919845
2,1,1,2025-09-06,Turkey,Sweden,82.179768,75.615636
2,2,1,2025-09-06,Germany,Portugal,103.55549,79.639418
2,3,1,2025-09-06,Latvia,Lithuania,73.47473,60.152107
2,4,1,2025-09-06,Finland,Serbia,85.459112,91.275338
2,5,1,2025-09-07,Poland,Bosnia & Herzegovina,77.255223,86.110425
2,6,1,2025-09-07,France,Georgia,104.07692,73.972231
2,7,1,2025-09-07,Italy,Slovenia,75.810808,80.323466
2,8,1,2025-09-07,Greece,Israel,90.922045,62.739823
3,1,1,2025-09-06,Turkey,Sweden,81.41299,80.166069
3,2,1,2025-09-06,Germany,Portugal,83.930763,51.89875
3,3,1,2025-09-06,Latvia,Lithuania,113.46027,88.687577
3,4,1,2025-09-06,Finland,Serbia,86.631095,101.69721
3,5,1,2025-09-07,Poland,Bosnia & Herzegovina,83.761409,79.548691
3,6,1,2025-09-07,France,Georgia,64.181353,79.799452
3,7,1,2025-09-07,Italy,Slovenia,87.655809,74.14843
3,8,1,2025-09-07,Greece,Israel,85.923153,80.06748
4,1,1,2025-09-06,Turkey,Sweden,94.828157,96.851037
4,2,1,2025-09-06,Germany,Portugal,90.35062,86.102711
4,3,1,2025-09-06,Latvia,Lithuania,104.04652,83.750749
4,4,1,2025-09-06,Finland,Serbia,71.411822,89.999399
4,5,1,2025-09-07,Poland,Bosnia & Herzegovina,95.788098,79.098139
4,6,1,2025-09-07,France,Georgia,92.542978,89.779968
4,7,1,2025-09-07,Italy,Slovenia,89.700084,91.857696
4,8,1,2025-09-07,Greece,Israel,81.467144,89.875378
5,1,1,2025-09-06,Turkey,Sweden,104.30579,61.781446
5,2,1,2025-09-06,Germany,Portugal,74.979211,56.197402
5,3,1,2025-09-06,Latvia,Lithuania,91.765179,81.484117
5,4,1,2025-09-06,Finland,Serbia,84.950057,80.302705
5,5,1,2025-09-07,Poland,Bosnia & Herzegovina,77.721638,85.309234
5,6,1,2025-09-07,France,Georgia,93.745708,92.045223
5,7,1,2025-09-07,Italy,Slovenia,91.52766,75.19917
5,8,1,2025-09-07,Greece,Israel,74.408435,75.493626
6,1,1,2025-09-06,Turkey,Sweden,71.761792,74.062783
6,2,1,2025-09-06,Germany,Portugal,101.39465,69.406129
6,3,1,2025-09-06,Latvia,Lithuania,87.556404,77.295866
6,4,1,2025-09-06,Finland,Serbia,99.146324,98.325901
6,5,1,2025-09-07,Poland,Bosnia & Herzegovina,90.05173,86.942586
6,6,1,2025-09-07,France,Georgia,98.912994,51.702226
6,7,1,2025-09-07,Italy,Slovenia,78.430141,76.389983
6,8,1,2025-09-07,Greece,Israel,93.918728,85.980534
7,1,1,2025-09-06,Turkey,Sweden,87.426417,84.2509
7,2,1,2025-09-06,Germany,Portugal,84.468268,75.49108
7,3,1,2025-09-06,Latvia,Lithuania,81.169095,82.846601
7,4,1,2025-09-06,Finland,Serbia,68.682073,85.137302
7,5,1,2025-09-07,Poland,Bosnia & Herzegovina,76.244942,83.459135
7,6,1,2025-09-07,France,Georgia,100.5808,79.417179
7,7,1,2025-09-07,Italy,Slovenia,101.3947,96.059963
7,8,1,2025-09-07,Greece,Israel,87.278385,54.719231
8,1,1,2025-09-06,Turkey,Sweden,86.250697,71.897436
8,2,1,2025-09-06,Germany,Portugal,86.519922,74.524966
8,3,1,2025-09-06,Latvia,Lithuania,76.357899,73.171367
8,4,1,2025-09-06,Finland,Serbia,84.786596,90.665241
8,5,1,2025-09-07,Poland,Bosnia & Herzegovina,93.281512,96.711702
8,6,1,2025-09-07,France,Georgia,82.619915,57.627349
8,7,1,2025-09-07,Italy,Slovenia,80.520329,78.819413
8,8,1,2025-09-07,Greece,Israel,84.858361,61.871835
9,1,1,2025-09-06,Turkey,Sweden,99.710818,53.586354
9,2,1,2025-09-06,Germany,Portugal,85.231809,65.635643
9,3,1,2025-09-06,Latvia,Lithuania,63.307402,78.889768
9,4,1,2025-09-06,Finland,Serbia,98.959754,79.329595
9,5,1,2025-09-07,Poland,Bosnia & Herzegovina,91.607482,101.39063
9,6,1,2025-09-07,France,Georgia,88.362908,58.846392
9,7,1,2025-09-07,Italy,Slovenia,64.424723,69.421226
9,8,1,2025-09-07,Greece,Israel,114.16906,78.31205
10,1,1,2025-09-06,Turkey,Sweden,69.408919,65.747787
10,2,1,2025-09-06,Germany,Portugal,91.939119,81.253176
10,3,1,2025-09-06,Latvia,Lithuania,91.363396,72.656928
10,4,1,2025-09-06,Finland,Serbia,80.331309,75.055399
10,5,1,2025-09-07,Poland,Bosnia & Herzegovina,74.850726,76.35584
10,6,1,2025-09-07,France,Georgia,94.176449,36.241094
10,7,1,2025-09-07,Italy,Slovenia,79.952844,69.226361
10,8,1,2025-09-07,Greece,Israel,88.68819,82.595397
11,1,1,2025-09-06,Turkey,Sweden,83.704143,60.846955
11,2,1,2025-09-06,Germany,Portugal,89.474622,77.484572
11,3,1,2025-09-06,Latvia,Lithuania,96.513778,79.681146
11,4,1,2025-09-06,Finland,Serbia,98.262857,97.510412
11,5,1,2025-09-07,Poland,Bosnia & Herzegovina,102.55042,112.90353
11,6,1,2025-09-07,France,Georgia,84.837453,66.314728
11,7,1,2025-09-07,Italy,Slovenia,88.649357,77.963828
11,8,1,2025-09-07,Greece,Israel,95.561625,84.36688
12,1,1,2025-09-06,Turkey,Sweden,79.820036,70.446663
12,2,1,2025-09-06,Germany,Portugal,79.848566,67.236487
12,3,1,2025-09-06,Latvia,Lithuania,87.755856,81.800097
12,4,1,2025-09-06,Finland,Serbia,88.595936,88.574176
12,5,1,2025-09-07,Poland,Bosnia & Herzegovina,86.62222,74.670737
12,6,1,2025-09-07,France,Georgia,71.33458,75.252537
12,7,1,2025-09-07,Italy,Slovenia,101.68328,95.413778
12,8,1,2025-09-07,Greece,Israel,97.811304,86.389749
13,1,1,2025-09-06,Turkey,Sweden,104.60122,87.035717
13,2,1,2025-09-06,Germany,Portugal,79.476443,67.904344
13,3,1,2025-09-06,Latvia,Lithuania,113.92725,104.39898
13,4,1,2025-09-06,Finland,Serbia,100.59129,120.81702
13,5,1,2025-09-07,Poland,Bosnia & Herzegovina,84.977732,112.58558
13,6,1,2025-09-07,France,Georgia,92.779493,77.244061
13,7,1,2025-09-07,Italy,Slovenia,93.42504,84.558109
