iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-09-07,France,Georgia,85.267747,67.15245
1,2,1,2025-09-07,Italy,Slovenia,89.363032,74.454752
1,3,1,2025-09-07,Greece,Israel,77.392917,85.463715
2,1,1,2025-09-07,France,Georgia,61.809037,72.751588
2,2,1,2025-09-07,Italy,Slovenia,78.547375,79.747691
2,3,1,2025-09-07,Greece,Israel,94.111982,78.812141
3,1,1,2025-09-07,France,Georgia,93.396905,77.539306
3,2,1,2025-09-07,Italy,Slovenia,93.289082,86.353948
3,3,1,2025-09-07,Greece,Israel,52.766971,75.087057
4,1,1,2025-09-07,France,Georgia,84.152835,77.496437
4,2,1,2025-09-07,Italy,Slovenia,65.274511,75.840847
4,3,1,2025-09-07,Greece,Israel,82.877402,70.233145
5,1,1,2025-09-07,France,Georgia,92.529842,86.189988
5,2,1,2025-09-07,Italy,Slovenia,77.623412,67.133898
5,3,1,2025-09-07,Greece,Israel,73.337573,70.066798
6,1,1,2025-09-07,France,Georgia,59.707433,55.577614
6,2,1,2025-09-07,Italy,Slovenia,96.918612,79.735594
6,3,1,2025-09-07,Greece,Israel,78.551236,61.434754
7,1,1,2025-09-07,France,Georgia,90.485569,89.339732
7,2,1,2025-09-07,Italy,Slovenia,73.585218,78.364194
7,3,1,2025-09-07,Greece,Israel,97.751191,91.277404
8,1,1,2025-09-07,France,Georgia,79.360497,91.022837
8,2,1,2025-09-07,Italy,Slovenia,97.608797,88.494938
8,3,1,2025-09-07,Greece,Israel,89.905383,97.857821
9,1,1,2025-09-07,France,Georgia,93.505533,81.394132
9,2,1,2025-09-07,Italy,Slovenia,86.574889,70.204707
9,3,1,2025-09-07,Greece,Israel,96.175464,77.422784
10,1,1,2025-09-07,France,Georgia,67.927774,72.061522
10,2,1,2025-09-07,Italy,Slovenia,84.863815,79.56345
10,3,1,2025-09-07,Greece,Israel,83.488413,93.811492
11,1,1,2025-09-07,France,Georgia,91.035966,71.600043
11,2,1,2025-09-07,Italy,Slovenia,83.412899,80.963309
11,3,1,2025-09-07,Greece,Israel,90.852504,77.163309
12,1,1,2025-09-07,France,Georgia,83.65994,87.482685
12,2,1,2025-09-07,Italy,Slovenia,87.699989,70.457591
12,3,1,2025-09-07,Greece,Israel,79.745634,54.044717
13,1,1,2025-09-07,France,Georgia,87.910994,69.482024
13,2,1,2025-09-07,Italy,Slovenia,103.039,95.254309
13,3,1,2025-09-07,Greece,Israel,74.144255,90.030303
14,1,1,2025-09-07,France,Georgia,95.792701,65.587001
14,2,1,2025-09-07,Italy,Slovenia,64.232518,77.723157
14,3,1,2025-09-07,Greece,Israel,85.955235,67.992199
15,1,1,2025-09-07,France,Georgia,95.527993,70.911507
15,2,1,2025-09-07,Italy,Slovenia,83.183689,88.803366
15,3,1,2025-09-07,Greece,Israel,96.346802,84.251971
16,1,1,2025-09-07,France,Georgia,60.842775,46.091033
16,2,1,2025-09-07,Italy,Slovenia,82.801299,79.166961
16,3,1,2025-09-07,Greece,Israel,82.579485,83.430843
17,1,1,2025-09-07,France,Georgia,90.455052,84.32573
17,2,1,2025-09-07,Italy,Slovenia,98.417199,98.421844
17,3,1,2025-09-07,Greece,Israel,65.18408,57.109364
18,1,1,2025-09-07,France,Georgia,92.409675,59.321472
18,2,1,2025-09-07,Italy,Slovenia,79.516738,86.357808
18,3,1,2025-09-07,Greece,Israel,81.40287,82.131866
19,1,1,2025-09-07,France,Georgia,75.774954,84.4392
19,2,1,2025-09-07,Italy,Slovenia,88.333547,88.147325
19,3,1,2025-09-07,Greece,Israel,95.644179,61.899782
20,1,1,2025-09-07,France,Georgia,94.461425,62.214673
20,2,1,2025-09-07,Italy,Slovenia,93.176398,60.855939
20,3,1,2025-09-07,Greece,Israel,75.694293,76.502583
21,1,1,2025-09-07,France,Georgia,79.112507,78.617293
21,2,1,2025-09-07,Italy,Slovenia,72.655649,94.379514
21,3,1,2025-09-07,Greece,Israel,83.500657,81.23485
22,1,1,2025-09-07,France,Georgia,83.513508,73.263351
22,2,1,2025-09-07,Italy,Slovenia,85.580634,94.062517
22,3,1,2025-09-07,Greece,Israel,78.157643,77.354103
23,1,1,2025-09-07,France,Georgia,61.843299,54.807743
23,2,1,2025-09-07,Italy,Slovenia,77.844582,88.764083
23,3,1,2025-09-07,Greece,Israel,88.666566,73.921004
24,1,1,2025-09-07,France,Georgia,88.284933,70.739089
24,2,1,2025-09-07,Italy,Slovenia,85.725508,78.594444
24,3,1,2025-09-07,Greece,Israel,63.554686,64.360051
25,1,1,2025-09-07,France,Georgia,90.962123,67.122248
25,2,1,2025-09-07,Italy,Slovenia,87.611308,99.714603
25,3,1,2025-09-07,Greece,Israel,105.29225,71.843807
26,1,1,2025-09-07,France,Georgia,75.201414,81.572423
26,2,1,2025-09-07,Italy,Slovenia,81.949087,80.966621
26,3,1,2025-09-07,Greece,Israel,96.300394,78.346553
27,1,1,2025-09-07,France,Georgia,65.472,61.142543
27,2,1,2025-09-07,Italy,Slovenia,92.500449,83.572918
27,3,1,2025-09-07,Greece,Israel,82.938968,76.265364
28,1,1,2025-09-07,France,Georgia,96.407256,78.120691
28,2,1,2025-09-07,Italy,Slovenia,72.442474,77.137334
28,3,1,2025-09-07,Greece,Israel,76.916728,69.284289
29,1,1,2025-09-07,France,Georgia,102.1225,41.000701
29,2,1,2025-09-07,Italy,Slovenia,79.759844,85.932283
29,3,1,2025-09-07,Greece,Israel,61.074635,65.040702
30,1,1,2025-09-07,France,Georgia,83.908165,56.001794
30,2,1,2025-09-07,Italy,Slovenia,77.015304,89.037708
30,3,1,2025-09-07,Greece,Israel,76.531024,69.177211
31,1,1,2025-09-07,France,Georgia,79.93631,77.113397
31,2,1,2025-09-07,Italy,Slovenia,83.368329,74.264396
31,3,1,2025-09-07,Greece,Israel,72.819397,72.742265
32,1,1,2025-09-07,France,Georgia,66.823993,78.234737
32,2,1,2025-09-07,Italy,Slovenia,86.236262,82.400306
