iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-08-31,Georgia,Greece,76.535416,75.721484
1,2,1,2025-08-31,Slovenia,Belgium,84.589141,75.663033
1,3,1,2025-08-31,Israel,France,76.91082,79.801946
1,4,1,2025-08-31,Cyprus,Spain,65.145564,90.65624
1,5,1,2025-08-31,Bosnia & Herzegovina,Italy,94.631327,97.153107
1,6,1,2025-08-31,Poland,Iceland,87.438051,65.642252
1,7,1,2025-09-01,Sweden,Montenegro,79.311436,92.143282
1,8,1,2025-09-01,Estonia,Turkey,82.773677,68.553815
1,9,1,2025-09-01,Germany,Great Britain,100.51572,70.620089
1,10,1,2025-09-01,Latvia,Portugal,101.03253,67.182609
1,11,1,2025-09-01,Finland,Lithuania,89.538073,75.343878
1,12,1,2025-09-01,Serbia,Czech Republic,100.25682,66.390943
1,13,1,2025-09-02,Belgium,Israel,76.381485,62.226873
1,14,1,2025-09-02,Greece,Bosnia & Herzegovina,92.616432,81.198825
1,15,1,2025-09-02,Iceland,Slovenia,82.379696,92.573638
1,16,1,2025-09-02,Cyprus,Georgia,46.280978,92.747399
1,17,1,2025-09-02,Poland,France,54.151772,64.924823
1,18,1,2025-09-02,Italy,Spain,67.134298,76.088592
1,19,1,2025-09-03,Montenegro,Great Britain,77.867205,69.590048
1,20,1,2025-09-03,Estonia,Portugal,78.140842,50.068191
1,21,1,2025-09-03,Lithuania,Sweden,73.055018,76.079457
1,22,1,2025-09-03,Latvia,Czech Republic,87.844006,90.343669
1,23,1,2025-09-03,Finland,Germany,74.434968,119.47343
1,24,1,2025-09-03,Turkey,Serbia,82.663155,93.186636
1,25,1,2025-09-04,Bosnia & Herzegovina,Georgia,72.341942,76.996991
1,26,1,2025-09-04,France,Iceland,95.22469,87.60734
1,27,1,2025-09-04,Israel,Slovenia,97.407693,93.540364
1,28,1,2025-09-04,Cyprus,Italy,69.594902,86.831644
1,29,1,2025-09-04,Poland,Belgium,70.94957,66.275996
1,30,1,2025-09-04,Spain,Greece,75.575863,62.343092
2,1,1,2025-08-31,Georgia,Greece,75.038183,62.090311
2,2,1,2025-08-31,Slovenia,Belgium,68.130687,70.903114
2,3,1,2025-08-31,Israel,France,69.941553,76.114829
2,4,1,2025-08-31,Cyprus,Spain,73.79644,85.385502
2,5,1,2025-08-31,Bosnia & Herzegovina,Italy,78.388296,73.69965
2,6,1,2025-08-31,Poland,Iceland,85.801213,69.210155
2,7,1,2025-09-01,Sweden,Montenegro,80.455942,74.374811
2,8,1,2025-09-01,Estonia,Turkey,77.375414,72.849653
2,9,1,2025-09-01,Germany,Great Britain,100.30184,79.573295
2,10,1,2025-09-01,Latvia,Portugal,93.877357,60.141862
2,11,1,2025-09-01,Finland,Lithuania,83.346738,89.262291
