date,division,game_nr,home,away,home_timediff,away_timediff
2025-08-31,1,1,Georgia,Greece,1,1
2025-08-31,1,2,Slovenia,Belgium,1,1
2025-08-31,1,3,Israel,France,1,1
2025-08-31,1,4,Cyprus,Spain,1,1
2025-08-31,1,5,Bosnia & Herzegovina,Italy,1,1
2025-08-31,1,6,Poland,Iceland,1,1
2025-09-01,1,7,Sweden,Montenegro,2,2
2025-09-01,1,8,Estonia,Turkey,2,2
2025-09-01,1,9,Germany,Great Britain,2,2
2025-09-01,1,10,Latvia,Portugal,2,2
2025-09-01,1,11,Finland,Lithuania,2,2
2025-09-01,1,12,Serbia,Czech Republic,2,2
2025-09-02,1,13,Belgium,Israel,2,2
2025-09-02,1,14,Greece,Bosnia & Herzegovina,2,2
2025-09-02,1,15,Iceland,Slovenia,2,2
2025-09-02,1,16,Cyprus,Georgia,2,2
2025-09-02,1,17,Poland,France,2,2
2025-09-02,1,18,Italy,Spain,2,2
2025-09-03,1,19,Montenegro,Great Britain,2,2
2025-09-03,1,20,Estonia,Portugal,2,2
2025-09-03,1,21,Lithuania,Sweden,2,2
2025-09-03,1,22,Latvia,Czech Republic,2,2
2025-09-03,1,23,Finland,Germany,2,2
2025-09-03,1,24,Turkey,Serbia,2,2
2025-09-04,1,25,Bosnia & Herzegovina,Georgia,2,2
2025-09-04,1,26,France,Iceland,2,2
2025-09-04,1,27,Israel,Slovenia,2,2
2025-09-04,1,28,Cyprus,Italy,2,2
2025-09-04,1,29,Poland,Belgium,2,2
2025-09-04,1,30,Spain,Greece,2,2
