team,team_nr
Georgia,28
Greece,31
Slovenia,65
Belgium,7
Israel,39
France,27
Cyprus,19
Spain,68
Bosnia & Herzegovina,8
Italy,40
Poland,56
Iceland,34
Sweden,69
Montenegro,49
Estonia,25
Turkey,73
Germany,29
Great Britain,30
Latvia,45
Portugal,57
Finland,26
Lithuania,47
Serbia,63
Czech Republic,20
