team,team_nr
Angola,1
Argentina,2
Australia,3
Austria,4
Bahamas,5
Bahrain,6
Belgium,7
Bosnia & Herzegovina,8
Brazil,9
Bulgaria,10
Cameroon,11
Canada,12
Cape Verde,13
Central African Republic,14
Chile,15
China,16
Colombia,17
Croatia,18
Cyprus,19
Czech Republic,20
D.R. Congo,21
Denmark,22
Dominican Republic,23
Egypt,24
Estonia,25
Finland,26
France,27
Georgia,28
Germany,29
Great Britain,30
Greece,31
Guinea,32
Hungary,33
Iceland,34
India,35
Indonesia,36
Iran,37
Iraq,38
Israel,39
Italy,40
Ivory Coast,41
Japan,42
Jordan,43
Kazakhstan,44
Latvia,45
Lebanon,46
Lithuania,47
Mexico,48
Montenegro,49
Netherlands,50
New Zealand,51
Nigeria,52
North Macedonia,53
Panama,54
Philippines,55
Poland,56
Portugal,57
Puerto Rico,58
Qatar,59
Russia,60
Saudi Arabia,61
Senegal,62
Serbia,63
Slovakia,64
Slovenia,65
South Korea,66
South Sudan,67
Spain,68
Sweden,69
Switzerland,70
Syria,71
Tunisia,72
Turkey,73
USA,74
Uganda,75
Ukraine,76
Uruguay,77
Venezuela,78
