date,home,away,home_score,away_score
10.09. 12:40,Germany,Serbia,83,77
10.09. 08:30AOT,USA,Canada,118,127
09.09. 12:30,Latvia,Lithuania,98,63
09.09. 08:45,Italy,Slovenia,85,89
08.09. 12:40,USA,Germany,111,113
08.09. 08:45,Serbia,Canada,95,86
07.09. 12:30,Lithuania,Slovenia,100,84
07.09. 08:45,Italy,Latvia,82,87
06.09. 12:30,Canada,Slovenia,100,89
06.09. 08:45,Germany,Latvia,81,79
05.09. 12:40,Italy,USA,63,100
05.09. 08:45,Lithuania,Serbia,68,87
03.09. 13:30,Spain,Canada,85,88
03.09. 12:40,USA,Lithuania,104,110
03.09. 12:00,Dominican Republic,Serbia,79,112
03.09. 11:10,Germany,Slovenia,100,71
03.09. 09:45,Brazil,Latvia,84,104
03.09. 08:40,Greece,Montenegro,69,73
03.09. 08:00,Italy,Puerto Rico,73,57
03.09. 07:30,Australia,Georgia,100,84
02.09. 13:30,Iran,Lebanon,73,81
02.09. 12:30,Jordan,Mexico,80,93
02.09. 12:00,Philippines,China,96,75
02.09. 11:10,Japan,Cape Verde,80,71
02.09. 09:45,Ivory Coast,France,77,87
02.09. 08:45,New Zealand,Egypt,88,86
02.09. 08:00,Angola,South Sudan,78,101
02.09. 07:30,Finland,Venezuela,90,75
01.09. 13:30,Canada,Brazil,65,69
01.09. 12:40,Lithuania,Greece,92,67
01.09. 12:10,Slovenia,Australia,91,80
01.09. 12:00,Dominican Republic,Puerto Rico,97,102
01.09. 09:45,Spain,Latvia,69,74
01.09. 08:40,USA,Montenegro,85,73
01.09. 08:30,Germany,Georgia,100,73
01.09. 08:00,Serbia,Italy,76,78
31.08. 13:30,France,Iran,82,55
31.08. 12:30,Egypt,Jordan,85,69
31.08. 12:00,South Sudan,Philippines,87,68
31.08. 11:10,Japan,Venezuela,86,77
31.08. 09:45,Ivory Coast,Lebanon,84,94
31.08. 08:45,New Zealand,Mexico,100,108
31.08. 08:00,Angola,China,76,83
31.08. 07:30,Cape Verde,Finland,77,100
30.08. 13:30,Iran,Spain,65,85
30.08. 12:40,Greece,New Zealand,83,74
30.08. 12:00,China,Puerto Rico,89,107
30.08. 11:30,Slovenia,Cape Verde,92,77
30.08. 09:45,Ivory Coast,Brazil,77,89
30.08. 08:40,USA,Jordan,110,62
30.08. 08:00,Georgia,Venezuela,70,59
30.08. 08:00,South Sudan,Serbia,83,115
29.08. 13:30,Canada,Latvia,101,75
29.08. 12:30,Montenegro,Lithuania,71,91
29.08. 12:00,Philippines,Italy,83,90
29.08. 11:10,Australia,Japan,109,89
29.08. 09:45,Lebanon,France,79,85
29.08. 08:45,Egypt,Mexico,100,72
29.08. 08:00,Angola,Dominican Republic,67,75
29.08. 07:30,Germany,Finland,101,75
28.08. 13:30,Brazil,Spain,78,96
28.08. 12:40,Greece,USA,81,109
28.08. 12:00,Puerto Rico,Serbia,77,94
28.08. 11:30,Georgia,Slovenia,67,88
28.08. 09:45,Ivory Coast,Iran,71,69
28.08. 08:45AOT,New Zealand,Jordan,95,87
28.08. 08:00,China,South Sudan,69,89
28.08. 08:00,Venezuela,Cape Verde,75,81
27.08. 13:30,France,Latvia,86,88
27.08. 12:30,Lithuania,Mexico,96,66
27.08. 12:10,Japan,Finland,98,88
27.08. 12:00,Philippines,Angola,70,80
27.08. 09:45,Lebanon,Canada,73,128
27.08. 08:45,Montenegro,Egypt,89,74
27.08. 08:30,Australia,Germany,82,85
27.08. 08:00,Italy,Dominican Republic,82,87
26.08. 13:30,Spain,Ivory Coast,94,64
26.08. 12:40,USA,New Zealand,99,72
26.08. 12:00,Serbia,China,105,63
26.08. 11:30,Slovenia,Venezuela,100,85
26.08. 09:45,Iran,Brazil,59,100
26.08. 08:45,Jordan,Greece,71,92
26.08. 08:00,Cape Verde,Georgia,60,85
26.08. 08:00AOT,South Sudan,Puerto Rico,96,101
25.08. 13:30,Canada,France,95,65
25.08. 12:30,Egypt,Lithuania,67,93
25.08. 12:10,Germany,Japan,81,63
25.08. 12:00,Dominican Republic,Philippines,87,81
25.08. 09:15,Latvia,Lebanon,109,70
25.08. 08:45,Mexico,Montenegro,71,91
25.08. 08:00,Angola,Italy,67,81
25.08. 08:00,Finland,Australia,72,98
27.02. 19:30,Belgium,Turkey,54,82
27.02. 19:00,Serbia,Great Britain,101,83
27.02. 18:05,Sweden,Estonia,71,72
27.02. 17:30,Latvia,Greece,67,57
27.02. 17:00,Slovenia,Israel,79,87
27.02. 16:30,Finland,Germany,81,87
27.02. 10:00,India,Saudi Arabia,60,71
27.02. 10:00,Philippines,Jordan,90,91
27.02. 06:00,New Zealand,Lebanon,106,91
27.02. 00:10,Argentina,Dominican Republic,75,79
27.02. 00:10,Brazil,USA,83,76
27.02. 00:10,Colombia,Puerto Rico,80,87
27.02. 00:10,Panama,Bahamas,88,66
27.02. 00:10,Uruguay,Mexico,69,82
27.02. 00:10,Venezuela,Canada,57,74
26.02. 18:00,Hungary,Bosnia & Herzegovina,87,77
26.02. 18:00,Montenegro,Czech Republic,88,70
26.02. 17:00,Nigeria,Angola,59,65
26.02. 17:00,South Sudan,Egypt,97,77
26.02. 17:00,France,Lithuania,70,63
26.02. 17:00,Spain,Italy,68,72
26.02. 16:00,Georgia,Iceland,77,80
26.02. 16:00,Ukraine,Netherlands,72,56
26.02. 14:30,Cape Verde,Ivory Coast,79,64
26.02. 14:30AOT,Tunisia,D.R. Congo,68,72
26.02. 12:00,Cameroon,Senegal,63,89
26.02. 12:00,Uganda,Guinea,47,88
26.02. 05:05,Japan,Bahrain,95,72
26.02. 04:00,Australia,Kazakhstan,98,53
26.02. 04:00,China,Iran,86,74
25.02. 18:00,Angola,Cape Verde,80,67
25.02. 17:00,Egypt,Cameroon,63,71
25.02. 15:30,Ivory Coast,Uganda,89,44
25.02. 14:30,Senegal,Tunisia,53,70
25.02. 13:00,Guinea,Nigeria,59,62
25.02. 12:00,D.R. Congo,South Sudan,61,82
24.02. 19:30,Great Britain,Belgium,59,88
24.02. 18:30,Germany,Sweden,73,66
24.02. 18:00,Uganda,Angola,49,82
