iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-09-04,Bosnia & Herzegovina,Georgia,88.665461,83.378861
1,2,1,2025-09-04,France,Iceland,64.810521,56.11843
1,3,1,2025-09-04,Israel,Slovenia,89.149558,95.510771
1,4,1,2025-09-04,Cyprus,Italy,50.271014,74.650705
1,5,1,2025-09-04,Poland,Belgium,95.34476,61.532308
1,6,1,2025-09-04,Spain,Greece,75.986106,64.168847
2,1,1,2025-09-04,Bosnia & Herzegovina,Georgia,78.379664,82.387415
2,2,1,2025-09-04,France,Iceland,86.271242,73.756862
2,3,1,2025-09-04,Israel,Slovenia,90.420436,78.227885
2,4,1,2025-09-04,Cyprus,Italy,55.215281,86.513608
2,5,1,2025-09-04,Poland,Belgium,94.645208,76.487444
2,6,1,2025-09-04,Spain,Greece,94.255949,86.413329
3,1,1,2025-09-04,Bosnia & Herzegovina,Georgia,86.328618,86.752008
3,2,1,2025-09-04,France,Iceland,99.338362,59.616976
3,3,1,2025-09-04,Israel,Slovenia,87.353995,98.740518
3,4,1,2025-09-04,Cyprus,Italy,54.127878,82.194916
3,5,1,2025-09-04,Poland,Belgium,83.965781,90.412163
3,6,1,2025-09-04,Spain,Greece,76.7456,61.309573
4,1,1,2025-09-04,Bosnia & Herzegovina,Georgia,92.737149,60.45521
4,2,1,2025-09-04,France,Iceland,80.187283,69.313975
4,3,1,2025-09-04,Israel,Slovenia,85.692549,99.702047
4,4,1,2025-09-04,Cyprus,Italy,63.543996,75.535166
4,5,1,2025-09-04,Poland,Belgium,84.636313,82.842348
4,6,1,2025-09-04,Spain,Greece,99.227619,61.779922
5,1,1,2025-09-04,Bosnia & Herzegovina,Georgia,71.798351,54.436281
5,2,1,2025-09-04,France,Iceland,102.80785,76.955333
5,3,1,2025-09-04,Israel,Slovenia,71.600581,100.73648
5,4,1,2025-09-04,Cyprus,Italy,57.100877,101.74677
5,5,1,2025-09-04,Poland,Belgium,82.009498,79.908069
5,6,1,2025-09-04,Spain,Greece,94.452823,70.037275
6,1,1,2025-09-04,Bosnia & Herzegovina,Georgia,82.050537,82.292826
