iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-09-09,Poland,Turkey,75.754831,59.168522
1,2,1,2025-09-09,Lithuania,Greece,89.70328,83.315283
1,3,1,2025-09-10,Finland,Georgia,94.414839,82.855187
1,4,1,2025-09-10,Germany,Slovenia,107.68662,116.27576
2,1,1,2025-09-09,Poland,Turkey,71.746322,89.5495
2,2,1,2025-09-09,Lithuania,Greece,82.946934,90.407979
2,3,1,2025-09-10,Finland,Georgia,110.58247,77.835262
2,4,1,2025-09-10,Germany,Slovenia,96.926415,72.190837
3,1,1,2025-09-09,Poland,Turkey,84.543958,48.387068
3,2,1,2025-09-09,Lithuania,Greece,91.46395,77.479857
3,3,1,2025-09-10,Finland,Georgia,86.613076,77.74558
3,4,1,2025-09-10,Germany,Slovenia,98.116151,82.781894
4,1,1,2025-09-09,Poland,Turkey,79.674559,86.184435
4,2,1,2025-09-09,Lithuania,Greece,72.399758,77.892866
4,3,1,2025-09-10,Finland,Georgia,100.31303,69.851571
4,4,1,2025-09-10,Germany,Slovenia,101.41669,77.749859
5,1,1,2025-09-09,Poland,Turkey,76.779005,84.003466
5,2,1,2025-09-09,Lithuania,Greece,81.687556,77.493113
5,3,1,2025-09-10,Finland,Georgia,104.04973,73.305435
5,4,1,2025-09-10,Germany,Slovenia,102.00352,71.713421
6,1,1,2025-09-09,Poland,Turkey,71.639987,73.331039
6,2,1,2025-09-09,Lithuania,Greece,78.51339,84.19045
6,3,1,2025-09-10,Finland,Georgia,90.583833,83.277629
6,4,1,2025-09-10,Germany,Slovenia,89.422597,101.9811
7,1,1,2025-09-09,Poland,Turkey,72.316332,77.079109
7,2,1,2025-09-09,Lithuania,Greece,80.452362,69.979091
7,3,1,2025-09-10,Finland,Georgia,90.109115,77.027478
7,4,1,2025-09-10,Germany,Slovenia,81.511547,81.886095
8,1,1,2025-09-09,Poland,Turkey,76.504768,83.136365
8,2,1,2025-09-09,Lithuania,Greece,83.274632,63.834311
8,3,1,2025-09-10,Finland,Georgia,97.632284,81.435105
8,4,1,2025-09-10,Germany,Slovenia,117.1921,96.606396
9,1,1,2025-09-09,Poland,Turkey,81.976972,81.50404
9,2,1,2025-09-09,Lithuania,Greece,94.412909,91.00262
9,3,1,2025-09-10,Finland,Georgia,91.272286,73.017774
9,4,1,2025-09-10,Germany,Slovenia,107.28974,93.858469
10,1,1,2025-09-09,Poland,Turkey,61.27173,80.090084
10,2,1,2025-09-09,Lithuania,Greece,95.041523,66.64287
10,3,1,2025-09-10,Finland,Georgia,88.173124,69.227675
10,4,1,2025-09-10,Germany,Slovenia,103.51207,93.726697
11,1,1,2025-09-09,Poland,Turkey,74.180794,103.30296
11,2,1,2025-09-09,Lithuania,Greece,98.503581,94.839266
11,3,1,2025-09-10,Finland,Georgia,86.103304,77.229134
11,4,1,2025-09-10,Germany,Slovenia,110.59981,80.933151
12,1,1,2025-09-09,Poland,Turkey,94.034271,94.419154
12,2,1,2025-09-09,Lithuania,Greece,93.617351,90.332041
12,3,1,2025-09-10,Finland,Georgia,83.309994,64.714055
12,4,1,2025-09-10,Germany,Slovenia,112.39736,94.178577
13,1,1,2025-09-09,Poland,Turkey,84.817208,84.604985
13,2,1,2025-09-09,Lithuania,Greece,73.440753,83.029382
13,3,1,2025-09-10,Finland,Georgia,72.560951,66.990389
13,4,1,2025-09-10,Germany,Slovenia,118.18094,103.32149
14,1,1,2025-09-09,Poland,Turkey,67.798062,100.3875
14,2,1,2025-09-09,Lithuania,Greece,106.05831,92.465825
14,3,1,2025-09-10,Finland,Georgia,89.828054,78.95243
14,4,1,2025-09-10,Germany,Slovenia,83.884377,104.58692
15,1,1,2025-09-09,Poland,Turkey,75.510643,87.30689
15,2,1,2025-09-09,Lithuania,Greece,83.346086,74.811477
15,3,1,2025-09-10,Finland,Georgia,92.137643,70.542245
15,4,1,2025-09-10,Germany,Slovenia,69.290998,101.77861
16,1,1,2025-09-09,Poland,Turkey,99.364542,106.90834
16,2,1,2025-09-09,Lithuania,Greece,101.09742,66.748246
16,3,1,2025-09-10,Finland,Georgia,94.897844,93.822334
16,4,1,2025-09-10,Germany,Slovenia,91.677863,83.656052
17,1,1,2025-09-09,Poland,Turkey,90.518859,82.150692
17,2,1,2025-09-09,Lithuania,Greece,96.027613,83.476241
17,3,1,2025-09-10,Finland,Georgia,97.221288,95.408746
17,4,1,2025-09-10,Germany,Slovenia,96.929282,81.94059
18,1,1,2025-09-09,Poland,Turkey,60.778985,82.455958
18,2,1,2025-09-09,Lithuania,Greece,99.349924,85.690352
18,3,1,2025-09-10,Finland,Georgia,90.93657,68.403716
18,4,1,2025-09-10,Germany,Slovenia,91.0834,79.293342
19,1,1,2025-09-09,Poland,Turkey,63.150215,74.064818
19,2,1,2025-09-09,Lithuania,Greece,83.354003,76.469181
19,3,1,2025-09-10,Finland,Georgia,79.988698,65.689365
19,4,1,2025-09-10,Germany,Slovenia,96.450717,77.411441
20,1,1,2025-09-09,Poland,Turkey,78.12882,103.3132
20,2,1,2025-09-09,Lithuania,Greece,94.387903,85.290983
20,3,1,2025-09-10,Finland,Georgia,86.9356,88.179707
20,4,1,2025-09-10,Germany,Slovenia,79.253435,75.525167
21,1,1,2025-09-09,Poland,Turkey,93.110288,127.01501
21,2,1,2025-09-09,Lithuania,Greece,88.23551,79.136648
21,3,1,2025-09-10,Finland,Georgia,112.36406,83.768635
