team,team_nr
Sweden,69
Montenegro,49
Estonia,25
Turkey,73
Germany,29
Great Britain,30
Latvia,45
Portugal,57
Finland,26
Lithuania,47
Serbia,63
Czech Republic,20
Belgium,7
Israel,39
Greece,31
Bosnia & Herzegovina,8
Iceland,34
Slovenia,65
Cyprus,19
Georgia,28
Poland,56
France,27
Italy,40
Spain,68
