date,division,game_nr,home,away,home_timediff,away_timediff
2025-09-01,1,1,Sweden,Montenegro,2,2
2025-09-01,1,2,Estonia,Turkey,2,2
2025-09-01,1,3,Germany,Great Britain,2,2
2025-09-01,1,4,Latvia,Portugal,2,2
2025-09-01,1,5,Finland,Lithuania,2,2
2025-09-01,1,6,Serbia,Czech Republic,2,2
2025-09-02,1,7,Belgium,Israel,2,2
2025-09-02,1,8,Greece,Bosnia & Herzegovina,2,2
2025-09-02,1,9,Iceland,Slovenia,2,2
2025-09-02,1,10,Cyprus,Georgia,2,2
2025-09-02,1,11,Poland,France,2,2
2025-09-02,1,12,Italy,Spain,2,2
2025-09-03,1,13,Montenegro,Great Britain,2,2
2025-09-03,1,14,Estonia,Portugal,2,2
2025-09-03,1,15,Lithuania,Sweden,2,2
2025-09-03,1,16,Latvia,Czech Republic,2,2
2025-09-03,1,17,Finland,Germany,2,2
2025-09-03,1,18,Turkey,Serbia,2,2
2025-09-04,1,19,Bosnia & Herzegovina,Georgia,2,2
2025-09-04,1,20,France,Iceland,2,2
2025-09-04,1,21,Israel,Slovenia,2,2
2025-09-04,1,22,Cyprus,Italy,2,2
2025-09-04,1,23,Poland,Belgium,2,2
2025-09-04,1,24,Spain,Greece,2,2
