season,division,date,home,away,home_goals,away_goals,game_nr,team1_home,home_timediff,away_timediff,home_round,away_round,season_first,home_nr,away_nr
2017,1,2016-09-10,Great Britain,Hungary,80,88,40,1,3,3,4,4,0,31,34
2017,1,2016-09-10,Luxembourg,North Macedonia,74,82,41,1,3,3,4,4,0,51,57
2017,1,2016-09-10,Portugal,Poland,74,81,42,1,7,3,3,3,0,62,61
2017,1,2016-09-10,Albania,Georgia,64,84,43,1,3,3,4,4,0,1,29
2017,1,2016-09-10,Denmark,Germany,106,102,44,1,3,3,4,4,0,23,30
2017,1,2016-09-10,Slovakia,Montenegro,62,99,45,1,3,3,4,4,0,69,53
2017,1,2016-09-10,Switzerland,Iceland,83,80,46,1,3,3,4,4,0,75,35
2017,1,2016-09-10,Bulgaria,Ukraine,67,72,47,1,3,3,4,4,0,11,81
2017,1,2016-09-10,Cyprus,Belgium,55,72,48,1,3,3,4,4,0,20,8
2017,1,2016-09-14,Iceland,Cyprus,84,62,49,1,4,4,5,5,0,35,20
2017,1,2016-09-14,Montenegro,Albania,94,56,50,1,4,4,5,5,0,53,1
2017,1,2016-09-14,Belgium,Switzerland,87,49,51,1,4,4,5,5,0,8,75
2017,1,2016-09-14,Netherlands,Denmark,98,88,52,1,4,4,5,5,0,54,23
2017,1,2016-09-14,Slovenia,Bulgaria,85,63,53,1,4,4,5,5,0,70,11
2017,1,2016-09-14,Sweden,Bosnia & Herzegovina,76,78,54,1,7,4,3,4,0,74,9
2017,1,2016-09-14,Germany,Austria,78,58,55,1,4,4,5,5,0,30,5
2017,1,2016-09-14,Luxembourg,Hungary,65,68,56,1,4,4,5,5,0,51,34
2017,1,2016-09-14,North Macedonia,Great Britain,62,89,57,1,4,4,5,5,0,57,31
2017,1,2016-09-14,Estonia,Portugal,82,63,58,1,7,4,3,4,0,26,62
2017,1,2016-09-14,Ukraine,Kosovo,100,61,59,1,4,4,5,5,0,81,47
2017,1,2016-09-14,Georgia,Slovakia,96,68,60,1,4,4,5,5,0,29,69
2017,1,2016-09-17,Montenegro,Georgia,84,90,61,1,3,3,6,6,0,53,29
2017,1,2016-09-17,Kosovo,Bulgaria,62,67,62,1,3,3,6,6,0,47,11
2017,1,2016-09-17,Luxembourg,Great Britain,82,75,63,1,3,3,6,6,0,51,31
2017,1,2016-09-17,Albania,Slovakia,72,65,64,1,3,3,6,6,0,1,69
2017,1,2016-09-17,Denmark,Austria,86,72,65,1,3,3,6,6,0,23,5
2017,1,2016-09-17,Estonia,Poland,63,94,66,1,3,7,4,4,0,26,61
2017,1,2016-09-17,Netherlands,Germany,51,82,67,1,3,3,6,6,0,54,30
2017,1,2016-09-17,Iceland,Belgium,74,68,68,1,3,3,6,6,0,35,8
2017,1,2016-09-17,Hungary,North Macedonia,63,61,69,1,3,3,6,6,0,34,57
2017,1,2016-09-17,Cyprus,Switzerland,92,78,70,1,3,3,6,6,0,20,75
2017,1,2016-09-17,Ukraine,Slovenia,69,80,71,1,3,3,6,6,0,81,70
2017,1,2016-09-17,Russia,Sweden,63,59,72,1,7,3,4,4,0,65,74
2017,2,2017-06-13,China,Iran,60,63,73,1,7,7,1,1,1,17,38
2017,2,2017-06-16,China,Iran,72,67,74,1,3,3,2,2,0,17,38
2017,2,2017-06-18,China,Iran,65,55,75,1,2,2,3,3,0,17,38
2017,2,2017-07-12,Bulgaria,Austria,80,66,76,1,100,100,7,7,0,11,5
2017,2,2017-07-14,Portugal,Estonia,60,74,77,1,100,100,5,5,0,62,26
2017,2,2017-07-18,Slovakia,Kosovo,61,69,78,1,100,100,7,7,0,69,47
2017,2,2017-07-19,Slovakia,Kosovo,75,73,79,1,1,1,8,8,0,69,47
2017,2,2017-07-20,North Macedonia,Portugal,52,47,80,1,100,6,7,6,0,57,62
2017,2,2017-07-20,Bosnia & Herzegovina,Netherlands,102,96,81,1,100,100,5,7,0,9,54
2017,2,2017-07-21,North Macedonia,Netherlands,78,72,82,1,1,1,8,8,0,57,54
2017,2,2017-07-21,Bosnia & Herzegovina,Portugal,63,58,83,1,1,1,6,7,0,9,62
2017,2,2017-07-22,Spain,Israel,90,70,84,1,7,7,1,1,1,73,41
2017,2,2017-07-22,Netherlands,Portugal,66,46,85,1,1,1,9,8,0,54,62
2017,2,2017-07-22,Austria,Bulgaria,91,84,86,1,10,10,8,8,0,5,11
2017,2,2017-07-22,North Macedonia,Bosnia & Herzegovina,71,67,87,1,1,1,9,7,0,57,9
2017,2,2017-07-23,Spain,Israel,76,56,88,1,1,1,2,2,0,73,41
2017,2,2017-07-24,Estonia,Sweden,77,72,89,1,10,100,6,5,0,26,74
2017,2,2017-07-26,Portugal,Tunisia,70,62,90,1,4,7,9,1,0,62,77
2017,2,2017-07-26,Hungary,Slovakia,76,47,91,1,100,7,7,9,0,34,69
2017,2,2017-07-26,Sweden,Estonia,82,77,92,1,2,2,6,7,0,74,26
2017,2,2017-07-27,Iceland,Belgium,83,76,93,1,100,100,7,7,0,35,8
2017,2,2017-07-27,Portugal,Tunisia,59,68,94,1,1,1,10,2,0,62,77
2017,2,2017-07-27,Hungary,Slovakia,72,51,95,1,1,1,8,10,0,34,69
2017,2,2017-07-28,Poland,Czech Republic,101,68,96,1,100,7,5,1,0,61,21
2017,2,2017-07-28,Bulgaria,North Macedonia,96,74,97,1,6,6,9,10,0,11,57
2017,2,2017-07-29,Finland,Latvia,81,85,98,1,7,7,1,1,1,27,48
2017,2,2017-07-29,Iceland,Belgium,85,70,99,1,2,2,8,8,0,35,8
2017,2,2017-07-29,Ukraine,Netherlands,65,70,100,1,100,7,7,10,0,81,54
2017,2,2017-07-29,Austria,Georgia,87,77,101,1,7,100,9,7,0,5,29
2017,2,2017-07-29,Poland,Czech Republic,85,72,102,1,1,1,6,2,0,61,21
2017,2,2017-07-29,Japan,Uruguay,69,79,103,1,7,7,1,1,1,44,82
