date,division,game_nr,home,away,home_timediff,away_timediff
2025-08-29,1,1,Germany,Sweden,2,2
2025-08-29,1,2,Turkey,Czech Republic,2,2
2025-08-29,1,3,Lithuania,Montenegro,2,2
2025-08-29,1,4,Latvia,Estonia,2,2
2025-08-29,1,5,Finland,Great Britain,2,2
2025-08-29,1,6,Portugal,Serbia,2,2
2025-08-30,1,7,Lithuania,Germany,1,1
2025-08-30,1,8,Czech Republic,Estonia,1,1
2025-08-30,1,9,Iceland,Belgium,2,2
2025-08-30,1,10,Italy,Georgia,2,2
2025-08-30,1,11,Great Britain,Sweden,1,1
2025-08-30,1,12,France,Slovenia,2,2
2025-08-30,1,13,Latvia,Serbia,1,1
2025-08-30,1,14,Cyprus,Greece,2,2
2025-08-30,1,15,Finland,Montenegro,1,1
2025-08-30,1,16,Turkey,Portugal,1,1
2025-08-30,1,17,Poland,Israel,2,2
2025-08-30,1,18,Spain,Bosnia & Herzegovina,2,2
2025-08-31,1,19,Georgia,Greece,1,1
2025-08-31,1,20,Slovenia,Belgium,1,1
2025-08-31,1,21,Israel,France,1,1
2025-08-31,1,22,Cyprus,Spain,1,1
2025-08-31,1,23,Bosnia & Herzegovina,Italy,1,1
2025-08-31,1,24,Poland,Iceland,1,1
2025-09-01,1,25,Sweden,Montenegro,2,2
2025-09-01,1,26,Estonia,Turkey,2,2
2025-09-01,1,27,Germany,Great Britain,2,2
2025-09-01,1,28,Latvia,Portugal,2,2
2025-09-01,1,29,Finland,Lithuania,2,2
2025-09-01,1,30,Serbia,Czech Republic,2,2
2025-09-02,1,31,Belgium,Israel,2,2
2025-09-02,1,32,Greece,Bosnia & Herzegovina,2,2
2025-09-02,1,33,Iceland,Slovenia,2,2
2025-09-02,1,34,Cyprus,Georgia,2,2
2025-09-02,1,35,Poland,France,2,2
2025-09-02,1,36,Italy,Spain,2,2
2025-09-03,1,37,Montenegro,Great Britain,2,2
2025-09-03,1,38,Estonia,Portugal,2,2
2025-09-03,1,39,Lithuania,Sweden,2,2
2025-09-03,1,40,Latvia,Czech Republic,2,2
2025-09-03,1,41,Finland,Germany,2,2
2025-09-03,1,42,Turkey,Serbia,2,2
2025-09-04,1,43,Bosnia & Herzegovina,Georgia,2,2
2025-09-04,1,44,France,Iceland,2,2
2025-09-04,1,45,Israel,Slovenia,2,2
2025-09-04,1,46,Cyprus,Italy,2,2
2025-09-04,1,47,Poland,Belgium,2,2
2025-09-04,1,48,Spain,Greece,2,2
