iteration,game_nr,division,date,home,away,home_goals,away_goals
1,1,1,2025-08-27,Serbia,Estonia,73.303132,60.682851
1,2,1,2025-08-27,Finland,Sweden,109.17115,83.844753
1,3,1,2025-08-27,Latvia,Turkey,112.54909,73.028481
1,4,1,2025-08-27,Montenegro,Germany,62.477249,97.323867
1,5,1,2025-08-27,Czech Republic,Portugal,89.659009,78.181609
1,6,1,2025-08-27,Great Britain,Lithuania,70.663351,95.894508
1,7,1,2025-08-28,Greece,Italy,82.107392,89.21431
1,8,1,2025-08-28,Poland,Slovenia,67.978475,88.315504
1,9,1,2025-08-28,Cyprus,Bosnia & Herzegovina,96.150484,100.7729
1,10,1,2025-08-28,Belgium,France,80.605505,92.081755
1,11,1,2025-08-28,Georgia,Spain,104.28591,117.03603
1,12,1,2025-08-28,Israel,Iceland,95.129116,79.09094
1,13,1,2025-08-29,Portugal,Serbia,62.135127,83.551745
1,14,1,2025-08-29,Finland,Great Britain,101.73191,77.601833
1,15,1,2025-08-29,Latvia,Estonia,90.692149,52.318602
1,16,1,2025-08-29,Lithuania,Montenegro,69.511062,70.60068
1,17,1,2025-08-29,Turkey,Czech Republic,92.13136,99.383519
1,18,1,2025-08-29,Germany,Sweden,106.80494,74.606262
1,19,1,2025-08-30,Poland,Israel,84.438702,72.94742
1,20,1,2025-08-30,Spain,Bosnia & Herzegovina,86.714648,93.339518
1,21,1,2025-08-30,Turkey,Portugal,87.038135,70.062647
1,22,1,2025-08-30,Finland,Montenegro,80.891257,80.922435
1,23,1,2025-08-30,Cyprus,Greece,86.588503,123.44289
1,24,1,2025-08-30,France,Slovenia,71.322565,95.326797
1,25,1,2025-08-30,Latvia,Serbia,98.986015,64.778879
1,26,1,2025-08-30,Great Britain,Sweden,84.292645,76.464086
1,27,1,2025-08-30,Iceland,Belgium,90.283619,72.480153
1,28,1,2025-08-30,Italy,Georgia,84.938234,70.17285
1,29,1,2025-08-30,Czech Republic,Estonia,75.140019,82.652292
1,30,1,2025-08-30,Lithuania,Germany,100.20433,90.226243
1,31,1,2025-08-31,Bosnia & Herzegovina,Italy,92.378898,106.30941
1,32,1,2025-08-31,Poland,Iceland,68.963664,56.942724
1,33,1,2025-08-31,Cyprus,Spain,89.664237,118.90479
1,34,1,2025-08-31,Israel,France,79.152565,76.170143
