season,division,date,home,away,home_goals,away_goals,game_nr,team1_home
2017,2,2017-07-29,Poland,Czech Republic,85,72,102,1
2017,2,2017-07-29,Japan,Uruguay,69,79,103,1
2017,2,2017-07-30,Italy,Netherlands,66,57,104,1
2017,2,2017-07-30,Japan,Uruguay,72,57,105,1
2017,2,2017-07-31,Angola,New Zealand,64,72,106,1
2019,3,2017-08-02,Albania,Austria,51,79,107,1
2019,3,2017-08-02,Kosovo,North Macedonia,72,68,108,1
2019,3,2017-08-02,Portugal,Bulgaria,71,82,109,1
2019,3,2017-08-02,Sweden,Bosnia & Herzegovina,81,73,110,1
2017,2,2017-08-04,Slovenia,Hungary,84,64,111,1
2017,2,2017-08-04,Lithuania,Poland,59,58,112,1
2017,2,2017-08-04,Russia,Finland,91,75,113,1
2017,2,2017-08-04,Georgia,Latvia,73,69,114,1
2017,2,2017-08-05,France,Tunisia,67,53,115,1
2017,2,2017-08-05,Lithuania,Georgia,70,81,116,1
2017,2,2017-08-05,Finland,Israel,92,97,117,1
2017,2,2017-08-05,Hungary,Czech Republic,51,85,118,1
2017,2,2017-08-05,Germany,Belgium,69,71,119,1
2017,2,2017-08-05,Latvia,Poland,76,80,120,1
2019,3,2017-08-05,North Macedonia,Estonia,76,80,121,1
2019,3,2017-08-05,Bosnia & Herzegovina,Slovakia,84,71,122,1
2019,3,2017-08-05,Austria,Netherlands,72,79,123,1
2017,2,2017-08-06,Slovenia,Czech Republic,88,80,124,1
2017,2,2017-08-06,Russia,Israel,71,79,125,1
2017,2,2017-08-07,Tunisia,Belgium,70,65,126,1
2017,2,2017-08-07,Great Britain,Ukraine,86,64,127,1
2017,2,2017-08-08,Spain,Tunisia,71,45,128,1
2017,2,2017-08-08,France,Croatia,87,92,129,1
2017,2,2017-08-08,Greece,Great Britain,92,64,130,1
2017,2,2017-08-09,Spain,Belgium,71,89,131,1
2017,2,2017-08-09,Croatia,Lithuania,82,80,132,1
2019,3,2017-08-09,Netherlands,Albania,91,77,133,1
2019,3,2017-08-09,Slovakia,Sweden,68,59,134,1
2019,3,2017-08-09,Estonia,Kosovo,76,50,135,1
2017,2,2017-08-10,France,Lithuania,98,77,136,1
2017,2,2017-08-11,Montenegro,Greece,81,83,137,1
2017,2,2017-08-11,Italy,Finland,75,70,138,1
2017,2,2017-08-11,Iceland,Germany,66,90,139,1
2017,2,2017-08-11,Latvia,Poland,77,65,140,1
2017,2,2017-08-11,Georgia,Czech Republic,87,76,141,1
2017,2,2017-08-11,Russia,Hungary,84,69,142,1
2017,2,2017-08-12,Uruguay,Argentina,96,105,143,1
2017,2,2017-08-12,Serbia,Greece,93,61,144,1
2017,2,2017-08-12,Finland,Turkey,93,88,145,1
2017,2,2017-08-12,Croatia,Slovenia,85,81,146,1
2017,2,2017-08-12,Hungary,Iceland,56,60,147,1
2017,2,2017-08-12,Germany,Russia,60,89,148,1
2019,3,2017-08-12,North Macedonia,Kosovo,87,74,149,1
2019,3,2017-08-12,Bosnia & Herzegovina,Sweden,72,88,150,1
2019,3,2017-08-12,Bulgaria,Portugal,91,65,151,1
2019,3,2017-08-12,Austria,Albania,97,63,152,1
2017,2,2017-08-13,Uruguay,Argentina,87,78,153,1
2017,2,2017-08-13,Montenegro,Serbia,71,82,154,1
2017,2,2017-08-13,Italy,Turkey,73,53,155,1
2017,2,2017-08-13,Israel,Great Britain,78,69,156,1
2017,2,2017-08-13,Slovenia,Ukraine,78,67,157,1
2017,2,2017-08-13,Georgia,Czech Republic,68,64,158,1
