team,team_nr
Serbia,63
Estonia,25
Finland,26
Sweden,69
Latvia,45
Turkey,73
Montenegro,49
Germany,29
Czech Republic,20
Portugal,57
Great Britain,30
Lithuania,47
Greece,31
Italy,40
Poland,56
Slovenia,65
Cyprus,19
Bosnia & Herzegovina,8
Belgium,7
France,27
Georgia,28
Spain,68
Israel,39
Iceland,34
